evt_date,Curve,Bridge,Aave,Compound,Treasury,Other,Uniswap,Balancer,Sushiswap,Bancor,Yearn,dydx
2023-11-09 00:00,81345053.4006324,222800674.16169477,16846714.806722898,54582812.124688804,7146452.102081091,278919727.1868777,114589211.90489703,3923136.683250629,32143393.96205517,114078.62001352335,563941.6940495273,1401474.4298928091
2023-11-10 00:00,79222027.57984361,223251684.67456853,16846714.806722898,53031928.59238302,7146452.102081091,278919727.1868777,120295663.62939388,2667884.729053189,32107522.015197914,114078.62001352335,563941.6940495273,1401394.374935829
2023-11-11 00:00,84864060.41166167,223040330.90930405,16846578.921818342,54482806.580188036,7146452.102081091,278919727.1868777,120509177.89607537,2766430.1650586124,32073801.5709113,114078.62001352335,563827.8794951831,1401394.374935829
2023-11-12 00:00,88413697.37618782,223060476.32857198,16846578.921818342,54400123.94970656,7146452.102081091,278919727.1868777,122347653.53894506,2767023.9547063904,32073131.695289474,114078.62001352335,563726.4485314143,1401394.374935829
2023-11-13 00:00,83904325.00963652,223144755.08794576,14693493.977107443,53184057.83213681,7146452.102081091,278919727.1868777,124428925.96537177,2728558.6029813495,32092839.72671387,114078.62001352335,563726.4485314143,1396678.3715316535
2023-11-14 00:00,75372385.62414692,223560603.7419108,15185038.897324413,53422007.10512405,7146452.102081091,278919727.1868777,127753852.75653002,2723193.319665789,32014034.661206145,114078.62001352335,563726.4485314143,1396678.3715316535
2023-11-15 00:00,81087110.6249105,224427442.44154385,16169114.400077578,50909347.96700807,7146452.102081091,278919727.1868777,130489969.59010978,2764616.9096711385,32085682.6089429,114078.62001352335,563726.4485314143,1396678.3715316535
2023-11-16 00:00,79351069.84998682,222823947.50743887,16544437.42459718,51281638.667395435,7146452.102081091,278919727.1868777,127309311.93807082,2746701.905552401,31993747.0820339,114078.62001352335,562675.3870247684,1396678.3715316535
2023-11-17 00:00,78202276.05131893,223057779.08491722,14578259.887692038,51096821.75564585,7146452.102081091,278919727.1868777,126969569.909698,2715330.417902405,31989111.45384136,114078.62001352335,562097.8759523146,1396678.3715316535
2023-11-18 00:00,80231178.09438276,223235200.05221516,16129256.750553193,50994434.56934245,7146452.102081091,278919727.1868777,126158439.61061749,2702244.143269564,31991331.144508157,114078.62001352335,562097.8759523146,1396678.3715316535
2023-11-19 00:00,82407299.6898554,224503183.7935979,16318279.297512952,52633815.08257659,7146452.102081091,278919727.1868777,124031303.58167979,2726863.758521323,32042084.49666414,114078.62001352335,562097.8759523146,1396570.6372624903
2023-11-20 00:00,84791240.31300524,224778572.15382454,17111547.997553255,52814720.631092094,7146452.102081091,278919727.1868777,122701614.45363833,2734767.186991588,32060689.863338854,114078.62001352335,562097.8759523146,1396570.6372624903
2023-11-21 00:00,79451145.5393238,223828061.2866413,18001561.959933408,52804377.52937501,7146452.102081091,278919727.1868777,121002669.98162365,2703866.924880697,31979699.107270382,114078.62001352335,533326.4732427604,1396471.756534426
