evt_date,Curve,Bridge,Aave,Compound,Treasury,Other,Uniswap,Balancer,Sushiswap,Bancor,Yearn
2020-09-16 00:00,42324509.644553,36339.001349,61957313.736676,93548509.136172,1324548.510509,343028.283721,159706353.659818,,59699084.280563,,
2020-09-17 00:00,65633534.170035,106486.024649,66484196.344814,97544797.722791,1324548.510509,343028.283721,201687543.587793,,52643515.479562,,
2020-09-18 00:00,89312589.492015,85553.713372,51384012.218651,102222124.125003,1324548.510509,343028.283721,258247489.611675,,37355451.203668,,
2020-09-19 00:00,124827601.158385,73273.853044,58544223.543699,109163233.177173,1324548.510509,343028.283721,282569401.69923,,39839859.915161,,
2020-09-20 00:00,139552107.983179,44041.982626,58676206.627008,129885129.759366,1324548.510509,343028.283721,280434279.934908,,38385239.266338,,
2020-09-21 00:00,126736777.414938,56754.156543,79997010.427463,128212222.762085,1324548.510509,343028.283721,258218539.889537,,37303344.446528,,
2020-09-22 00:00,154291420.039044,57058.538543,81530198.129856,126966883.063154,1324548.510509,343068.283801,265804831.399145,,38944574.293725,,
2020-09-23 00:00,183756882.826499,57274.713543,133384450.83477,125943131.895299,1724548.510509,343068.283801,261407716.453918,,35404575.464486,,
2020-09-24 00:00,191517383.440956,62933.162612,126632678.27719,128998963.993576,1724548.510509,343068.283801,279536334.316681,,35308301.204986,,
2020-09-25 00:00,188636689.856858,64033.543848,107660810.771439,137069061.701622,1724548.510509,343068.283801,283064642.866811,,35304589.184642,,
2020-09-26 00:00,206675055.983895,64333.543848,147069220.207535,135812551.264544,1724548.510509,343068.283801,284463615.852475,,34585579.415723,,
2020-09-27 00:00,195449335.688113,64606.675512,214673304.69308,123496995.586977,1724548.510509,343068.283801,288061937.798257,,29956430.49515,,
2020-09-28 00:00,184363543.69086,92833.620512,161417956.42679,123154935.44198,1724548.510509,343068.283801,290798981.265663,,31344809.969402,,
2020-09-29 00:00,179548527.807825,94429.004512,171162691.111614,123799531.839157,1724558.010509,343068.283801,293660226.315816,,31863652.920794,,
2020-09-30 00:00,169438066.812455,2741861.855525,142548769.75479,123905747.73561,1724558.010509,343068.283801,305678532.475808,,24413982.389806,,
2020-10-01 00:00,165234882.960554,4614065.766489,120694984.191977,140806163.678601,1724558.010509,343068.283801,325877495.676075,,14558187.051672,,
2020-10-02 00:00,160594614.026676,4545238.541183,107163027.994376,134810882.512196,1724558.010509,343068.283801,316896267.80043,,23135394.389685,,
2020-10-03 00:00,166651374.836979,2754122.481152,99966980.398952,138209648.727787,1724558.010509,343068.283801,326176489.850479,,22656303.98128,,
2020-10-04 00:00,157229423.346445,2877782.440434,109444019.700072,132438634.421029,1724558.010509,343068.283801,330810726.494586,,22294143.874303,,
2020-10-05 00:00,155369389.13439,1309451.196195,121763044.514558,132332081.966922,1724558.010509,343068.283801,343590960.222323,,17062702.805275,,
2020-10-06 00:00,156296322.133779,2609614.269348,128030848.975173,140190264.268734,1724558.010509,343068.283801,340807768.867662,,16745993.609913,,
2020-10-07 00:00,156531839.161587,3926228.739335,114095518.802184,138104214.864048,1724558.010509,343068.283801,339443233.621205,,16348608.43299,,
2020-10-08 00:00,163444850.106371,3470711.335843,112553034.590066,155984593.038673,1744388.404509,343082.283829,355833483.677971,,15018708.899213,,
2020-10-09 00:00,183101433.311632,4685822.399282,108605242.232822,151358344.218936,2077711.404509,343082.283829,360694146.473243,,19407032.03678,,
2020-10-10 00:00,190765112.511415,4594120.109065,103199654.74808,152572465.203553,2077711.404509,343082.283829,387752461.625284,,19745220.975204,,
2020-10-11 00:00,189544004.198782,3662449.417658,99922305.965516,136442855.188389,2077711.404509,343082.283829,381708278.06117,,19618761.05008,,
2020-10-12 00:00,190411012.344945,2912813.223857,104111912.494475,135140275.829519,2077711.404509,343082.283829,380152386.321591,,19452640.776626,,
2020-10-13 00:00,183594897.296206,3013315.630533,102385634.380129,112991243.615102,2077711.404509,343082.283829,371891916.17569,,18287069.277315,,
2020-10-14 00:00,162355496.546443,2428636.988955,99622235.604074,106544618.652988,2077711.404509,343082.283829,376270755.796453,,19082762.838669,,
2020-10-15 00:00,161535423.201829,2549496.741465,100633004.970792,103285210.246641,2077711.404509,343077.617153,391800488.729409,,19713508.955902,,
2020-10-16 00:00,162632499.718857,1445747.819163,101235878.836631,95994177.532583,2077711.404509,343077.617153,385755417.987469,,19602283.463473,,
2020-10-17 00:00,165434115.061998,1193833.165949,89697940.554942,92802111.095382,2077711.404509,343077.617153,384795550.962561,,19785717.847974,,
2020-10-18 00:00,161271146.305582,1196691.282233,73045942.336702,87079617.024814,2077711.404509,343077.617153,388828591.109938,,20889843.820246,,
2020-10-19 00:00,157766408.568075,865621.302996,58636310.57012,86975117.69013,2077711.404509,409744.417153,390353698.203514,,20788334.993018,,
2020-10-20 00:00,161778586.035621,875261.383369,7321802.784419,77834175.374147,1707711.404509,409744.417153,385818211.800486,,20012416.361194,,
2020-10-21 00:00,154226742.392839,936328.299956,44591317.519432,57788520.281459,1707711.404509,409744.417153,403784139.445047,,20648755.156967,,
2020-10-22 00:00,101204304.348372,872252.617245,65700870.919984,68561634.546957,1707711.404509,409744.417153,380861728.175027,,20842239.667571,,
2020-10-23 00:00,96360490.935825,991450.129676,61199443.586784,68688466.530885,1199961.404509,409744.417153,347398495.298048,,15380903.03897,,
2020-10-24 00:00,93077870.937191,908398.281905,56527489.468176,84939458.022462,1199961.404509,409744.417153,378068737.377873,,16496044.875175,,
2020-10-25 00:00,93114983.604453,1059992.600696,55434429.255473,74620983.208396,1199961.404509,409744.417153,398281431.386951,,16400285.574041,,
2020-10-26 00:00,76174969.929505,1481566.629772,17631629.89431,62007932.871222,1199961.404509,409744.417153,422176324.204649,,19449914.165917,,
2020-10-27 00:00,94879551.086912,1755101.505886,8756986.684313,51347372.735232,1199961.404509,409744.417153,414891716.905688,,19752797.15816,,
2020-10-28 00:00,87033747.218911,1788507.684996,16354300.213775,64440837.144609,1207095.020846,409744.417153,395349616.781274,,18354675.323053,,
2020-10-29 00:00,97073333.47727,2233741.833357,18314552.343942,53815094.402837,1182095.020846,409744.417153,393913779.341637,,17952984.661502,,
2020-10-30 00:00,93919933.475797,2660021.066628,30245184.90062,54061913.071841,1182095.020846,409744.417153,392821267.184722,,17873494.787313,,
2020-10-31 00:00,95009043.374099,2824463.563858,36973372.881089,46330272.796714,1182095.020846,409744.417153,393608425.099302,,18059191.528635,,
2020-11-01 00:00,98125233.770831,3159288.468244,42151276.934873,41892547.357683,1182095.020846,409744.417153,385956599.578686,,18254784.685875,,
2020-11-02 00:00,103076798.072694,3679442.204075,59266023.624867,61151183.884596,1178921.280846,409744.417153,370437946.949557,,20060011.414216,,
2020-11-03 00:00,103482037.831463,4675215.995319,63591499.466137,75079786.662166,1178921.280846,409744.417153,367386538.460509,,20152051.752148,,
2020-11-04 00:00,100938427.274365,6369675.437434,60310145.602698,70048885.96264,1178921.280846,409744.417153,375201202.25967,,17776642.671115,,
2020-11-05 00:00,97014475.486597,6885247.493364,49976137.764764,74608624.548162,1178921.280846,510230.951459,358153166.879501,,15425611.810205,,
2020-11-06 00:00,88767351.679008,6786789.289677,46821926.616194,62781770.074502,1178921.280846,520231.951459,368819494.785149,,16576398.119588,,
2020-11-07 00:00,93757862.464258,6685359.049615,45861297.343422,52257187.741562,1178921.280846,595416.435161,366489026.47373,,16879053.514958,,
2020-11-08 00:00,93117489.738374,6751128.522993,40948041.649687,58829796.365554,1178921.280846,563482.704629,372024248.790276,,17224943.109428,,
2020-11-09 00:00,95959822.773003,4637982.207014,53803525.354117,100750530.146273,1178921.280846,2831749.094493,427716549.729227,,20691227.238331,,
2020-11-10 00:00,97424364.389632,4419634.574722,49631824.536296,100311360.213173,1178921.280846,2818753.735169,428556167.224892,,19204185.5993,,
2020-11-11 00:00,100978533.334614,4452328.521804,52035768.074116,95986253.360932,1178921.280846,3368763.068521,433557628.094256,,19480485.356795,,
