evt_date,compound,other,uniswap,aave,bridge,curve,bancor,treasury,balancer,sushiswap,dydx,yearn,total
2021-01-02 00:00,61479601.06698367,8318631.33374532,133679293.02793775,11118695.920392426,1735689.8468042915,87158953.27663013,0,7248576.960120443,0,53491087.0658288,5275867.75985987,11713295.287930278,381219691.546233
2021-01-03 00:00,63485692.7058489,8276205.039424167,147916415.7046733,28737962.024319727,1763858.6101148939,70202864.45091635,0,6980944.6869114945,0,59002960.75885428,4651262.415691827,15969414.081255436,406987580.47801036
2021-01-04 00:00,186275806.71255654,8168416.927981294,158677502.76227763,20479949.14630864,1774598.752931224,87200957.17726429,0,6757756.681202097,0,93047300.5560945,4154885.2684373143,8135928.57511325,574673102.5601667
2021-01-05 00:00,175075312.42004684,8332864.877195975,170937856.41811213,22130317.865785588,1793758.0091031557,97861762.62433808,0,6691440.362438066,0,99887099.00916544,1086542.6586380627,6997340.536602058,590794294.7814254
2021-01-06 00:00,167071978.77675322,8349792.701393839,177360822.84384888,19422479.553866126,1849863.2479305826,94513190.27938573,0,6175109.45896947,0,104802276.8092489,795946.0163724936,7546811.244843511,587888270.9326128
2021-01-07 00:00,167730724.67441228,8257157.019534736,194369814.52590317,18069294.43984733,1855246.6183589434,96454417.54177985,0,5814698.44618715,0,97215041.18932764,1784151.0116777795,17241584.56863581,608792130.0356647
2021-01-08 00:00,214056670.75405052,8235566.334759502,187494269.56510973,22734973.611287776,1855594.6253662645,99240101.73363604,0,5849719.837044823,0,103572009.9949434,1061489.9084512237,17382608.591720644,661483004.9563699
2021-01-09 00:00,210620181.45917445,8218092.556621834,193989069.9061699,19757680.48957871,1921020.0283821337,101631759.16007918,0,5941479.073459127,0,85755639.92741251,62376.12935923882,20970774.74587323,648868073.4761103
2021-01-10 00:00,184307702.06626046,8281758.237166578,196851977.20329437,25782452.848595347,2065518.3436808095,108132710.42529021,0,6026500.997170658,0,85863226.96619314,1013997.7876407576,21216866.006072484,639542710.8813648
2021-01-11 00:00,178693949.02183437,8021939.325990863,190547326.8080993,22306240.75383911,2365836.8938105144,99021409.39202508,0,5741777.835838819,0,63317768.54033389,243338.07505847226,10663834.468683261,580923421.1155137
2021-01-12 00:00,163399990.29420167,8071450.504986899,192626554.7953321,25912379.371179912,2304593.5456845257,107559891.28219098,0,5738604.343617006,0,66256555.79235172,659248.6968409127,11460695.62134423,583989964.24773
2021-01-13 00:00,163762698.53531626,8217567.707614756,196346359.4535352,15208813.75866295,2767586.590523104,101325821.77760197,0,5676968.134774779,0,91447465.58841272,2644020.376172198,10887183.780937832,598284485.7035518
2021-01-14 00:00,121345041.46380597,8169268.463902222,200292942.41236863,16641424.83045355,2811725.83771148,87991384.10311873,0,5771489.890642175,0,95935155.1917971,1216304.8330214182,10807481.299916273,550982218.3267375
2021-01-15 00:00,48782542.569726504,8163752.6603798475,198842528.76266554,15156148.675473953,2856347.675365285,99870462.73523545,0,5808365.121429696,0,94598455.8644206,1474846.8215933924,13546961.726309264,489100412.6125995
2021-01-16 00:00,103119621.35190447,8159846.754194258,201242837.80703312,22363067.65643642,3036208.082347281,107739815.32804377,0,5848377.566841437,0,105149578.71323738,1439865.5666212516,21400280.9206392,579499499.7472986
2021-01-17 00:00,122037711.68027762,8155278.748013952,199821056.20818862,20709509.73425272,2997216.138231101,117199173.92617224,0,5791176.522886096,0,94851782.66259241,2992687.196889783,11738944.83415894,586294537.6516635
2021-01-18 00:00,123001036.56902882,8098303.203791452,199719032.15156165,21888116.253105536,3051216.523682468,123891710.23924635,0,5914262.354077455,0,95035955.7617349,1717981.2450214094,12397464.05886298,594715078.360113
2021-01-19 00:00,115487275.86027507,8115853.941935097,201270961.21525723,20370472.025545247,3136619.4009359195,134677076.49046546,0,6092036.408452443,0,103157563.00665115,2317576.073146472,9945432.955961682,604570867.3786258
2021-01-20 00:00,126979281.21004266,8060827.759775193,201048962.80385756,18294165.964266088,3285095.5155519214,132861471.998269,0,6130339.376582226,0,97900894.42370257,773255.4808139486,8431433.230202733,603765727.7630639
2021-01-21 00:00,145414249.80742148,8032719.012547816,182265732.71795297,21604312.796050668,3284357.9335790602,136325872.63008523,0,6834746.555063145,0,80968656.67187586,3944735.203746436,7446233.860621393,596121617.1889441
2021-01-22 00:00,180662337.7781627,8046906.118628519,197193774.18370458,19166898.51043062,3328676.643198738,136177690.90757212,0,6703243.831006176,0,91145463.05884573,4214158.339869127,18488304.60550771,665127453.976926
2021-01-23 00:00,235398584.67734084,8040893.451554214,197266206.12421808,17450189.707690652,3523032.1737687,128014825.06552415,0,6752337.266193284,0,98066473.22096251,1957696.116352595,7617056.746840272,704087294.5504453
2021-01-24 00:00,228095333.3760845,8175409.510195128,205000369.924949,18591009.884611726,3596953.4038622933,148268668.6243952,0,7021300.658321395,0,100402678.10959591,3812703.8141027554,5210697.599098845,728175124.9052167
2021-01-25 00:00,234718800.515836,8211830.66278002,201336703.39764202,18203677.539009444,3299744.211926812,179829131.1069309,0,7204534.397409045,0,92946779.17620717,3085692.6168512623,3968021.992376883,752804915.6169696
2021-01-26 00:00,248353853.84788513,8211535.872780021,203630955.3084269,23976390.063866857,3439355.0800184403,179184000.47570398,0,7860199.166301616,0,92428166.73504497,1489435.0606280884,969944.1767982462,769543835.7874542
2021-01-27 00:00,231242335.1594132,8334237.598840989,197983054.0082378,23072263.33301781,3505191.332374538,194067591.88120547,0,8206740.25775122,0,87826980.12590514,3763240.1043623094,572529.2797939559,758574163.0809025
2021-01-28 00:00,220226407.52047667,8390082.315084204,179844943.7283794,26438010.15710129,3628642.5444899425,199970400.4183566,0,9877888.213817764,0,91244732.72582099,1128244.5482135986,255284.28953528666,741004636.4612757
2021-01-29 00:00,202634787.34893754,8330206.103341847,182065252.66981065,27011188.229853757,3727457.346279369,205325443.5013411,0,9180548.303478844,0,92819279.82521996,1397353.1363968856,221915.12015401872,732713431.584814
2021-01-30 00:00,203357269.46385866,8334723.811629214,182271359.3675991,26437330.089808676,4004400.207538101,202514036.57231697,0,8945876.624016846,0,109609132.27961047,1578341.1457871562,17930.023301431906,747070399.5854666
2021-01-31 00:00,201311552.15478626,8281849.491197349,179171820.92994505,28964626.300699096,4135269.401600413,205836183.96597102,0,8840084.032079516,0,102347880.57460101,194009.02359476124,6886.250920487389,739090162.1253949
2021-02-01 00:00,197449908.54101476,8050754.766999043,180823630.91769034,26215175.50152289,4019571.3604947785,198498269.26948813,0,8721304.921427803,0,107990901.99116316,1465212.0394217686,29216.356485300275,733263945.665708
2021-02-02 00:00,194844747.7056353,8046036.682578458,161791540.76506755,20691261.390739772,4017618.7173645827,209549306.58932203,0,8902437.52423012,0,116724734.81565976,863718.4738500996,1488229.8662387768,726919632.5306865
2021-02-03 00:00,193198398.55180153,8042271.21626554,168457671.27629253,22600052.9098438,4216051.259462114,219501783.58508492,0,9000249.40240029,0,126113820.06995796,2184411.047578073,38422.564915977775,753353131.8836027
2021-02-04 00:00,189562162.3260871,8041570.8111014385,167367370.5398961,26925820.11908771,4189452.312172808,240926148.25362268,0,9405234.308672557,0,116800344.68959773,1549799.0709248318,57966.548489529574,764825868.9796525
2021-02-05 00:00,170700152.30467895,8081007.546653718,170308989.81103,64765560.28963899,4334659.469001599,254952853.24194267,0,10486777.476766307,0,129885615.85292982,121423.21231336305,38567.64884049253,813675606.8537959
2021-02-06 00:00,171825112.34433922,8132979.364889811,172685354.87986335,55545096.0585156,4036905.832219582,243988020.17806247,0,10696905.018277433,0,152955498.3223792,389668.79946565384,0,820255540.7980124
2021-02-07 00:00,158374329.58961573,8595889.78845897,167686488.22278553,42081915.886290066,4021626.1484724833,244848342.06500787,0,11986333.083695702,0,119012088.05189613,491472.1569323391,385779.2108769461,757484264.2040317
2021-02-08 00:00,199384554.49051347,10531310.682869218,173085086.42232996,19114637.88300353,4014742.4459883673,236822024.55295596,0,12382473.979933133,0,138394539.72654256,2570643.1885578907,119565.33687562933,796419578.7095697
2021-02-09 00:00,167193944.2671044,8836095.249619007,173995392.36385623,32210292.932918023,4232878.905401367,255155482.20043337,0,12234319.70224893,0,150354562.44013432,3156278.98111911,8553896.082019396,815923143.1248541
2021-02-10 00:00,181521610.54743326,10721070.654506143,174278198.692142,27891403.51296406,4567688.317600496,236800576.92840746,0,12576669.213316627,0,150611010.56065008,647178.4597407794,9925336.466667457,809540743.3534284
2021-02-11 00:00,193572156.1113307,11127386.31551518,174977150.36843485,47285850.26425048,4896473.722949959,257398747.47277287,0,13872493.97993396,0,165356092.18145213,1024183.2175392545,2210697.8107440867,871721231.4449235
2021-02-12 00:00,197972743.24805015,10405765.10527865,176623265.91201496,38729285.63869294,4944066.09561534,262096989.2096239,0,15116436.799672823,0,184337803.9103047,830078.7974416459,1779778.2825076026,892836212.9992027
2021-02-13 00:00,201876214.42177996,8840040.414337348,176095975.5221054,42310731.21051073,4977146.955416692,253584780.64114574,0,18639250.156345602,0,171796009.52645522,2228039.483449004,687861.6981914237,881036050.0297371
2021-02-14 00:00,196183990.81216195,10166118.15370558,175973406.88881353,17256241.66990823,5205458.801063454,272844210.38516146,0,24098093.040335238,0,170084601.24133182,2982908.758878177,1493871.9568284962,876288901.7081879
2021-02-15 00:00,237575808.47521657,10779580.531314692,176085054.67891628,21653456.283213887,5779612.636940443,279079811.14248204,0,22324228.30874737,0,169273872.46445987,1878638.2088349147,1303166.2965922477,925733229.0267184
2021-02-16 00:00,298025003.0291039,9478877.912847416,177045588.2454982,35025647.958389886,6138599.807459515,283205582.3823951,0,22722453.406810876,0,169515069.29048857,3165475.0565677006,350728.2398966275,1004673025.3294578
