date,oracle,Active Users
2018-01-16T00:00:00+00:00,Chainlink,16977
2018-01-17T00:00:00+00:00,Chainlink,17086
2018-01-18T00:00:00+00:00,Chainlink,17172
2018-01-19T00:00:00+00:00,Chainlink,17277
2018-01-20T00:00:00+00:00,Chainlink,17439
2018-01-21T00:00:00+00:00,Chainlink,17572
2018-01-22T00:00:00+00:00,Chainlink,17665
2018-01-23T00:00:00+00:00,Chainlink,17652
2018-01-24T00:00:00+00:00,Chainlink,17720
2018-01-25T00:00:00+00:00,Chainlink,17785
2018-01-26T00:00:00+00:00,Chainlink,17857
2018-01-27T00:00:00+00:00,Chainlink,17961
2018-01-28T00:00:00+00:00,Chainlink,18043
2018-01-29T00:00:00+00:00,Chainlink,18117
2018-01-30T00:00:00+00:00,Chainlink,18182
2018-01-31T00:00:00+00:00,Chainlink,18257
2018-02-01T00:00:00+00:00,Chainlink,18300
2018-02-02T00:00:00+00:00,Chainlink,18365
2018-02-03T00:00:00+00:00,Chainlink,18403
2018-02-04T00:00:00+00:00,Chainlink,18438
2018-02-05T00:00:00+00:00,Chainlink,18451
2018-02-06T00:00:00+00:00,Chainlink,18477
2018-02-07T00:00:00+00:00,Chainlink,18528
2018-02-08T00:00:00+00:00,Chainlink,18546
2018-02-09T00:00:00+00:00,Chainlink,18581
2018-02-10T00:00:00+00:00,Chainlink,18684
2018-02-11T00:00:00+00:00,Chainlink,18763
2018-02-12T00:00:00+00:00,Chainlink,18823
2018-02-13T00:00:00+00:00,Chainlink,18899
2018-02-14T00:00:00+00:00,Chainlink,18956
2018-02-15T00:00:00+00:00,Chainlink,19001
2018-02-16T00:00:00+00:00,Chainlink,19056
2018-02-17T00:00:00+00:00,Chainlink,19121
2018-02-18T00:00:00+00:00,Chainlink,19173
2018-02-19T00:00:00+00:00,Chainlink,19259
2018-02-20T00:00:00+00:00,Chainlink,19352
2018-02-21T00:00:00+00:00,Chainlink,19407
2018-02-22T00:00:00+00:00,Chainlink,19481
2018-02-23T00:00:00+00:00,Chainlink,19511
2018-02-24T00:00:00+00:00,Chainlink,19583
2018-02-25T00:00:00+00:00,Chainlink,19632
2018-02-26T00:00:00+00:00,Chainlink,19680
2018-02-27T00:00:00+00:00,Chainlink,19750
2018-02-28T00:00:00+00:00,Chainlink,19813
2018-03-01T00:00:00+00:00,Chainlink,19875
2018-03-02T00:00:00+00:00,Chainlink,19922
2018-03-03T00:00:00+00:00,Chainlink,19988
2018-03-04T00:00:00+00:00,Chainlink,20028
2018-03-05T00:00:00+00:00,Chainlink,20063
2018-03-06T00:00:00+00:00,Chainlink,20096
2018-03-07T00:00:00+00:00,Chainlink,20163
2018-03-08T00:00:00+00:00,Chainlink,20252
2018-03-09T00:00:00+00:00,Chainlink,20305
2018-03-10T00:00:00+00:00,Chainlink,20370
2018-03-11T00:00:00+00:00,Chainlink,20434
2018-03-12T00:00:00+00:00,Chainlink,20511
2018-03-13T00:00:00+00:00,Chainlink,20518
2018-03-14T00:00:00+00:00,Chainlink,20539
2018-03-15T00:00:00+00:00,Chainlink,20567
2018-03-16T00:00:00+00:00,Chainlink,20589
2018-03-17T00:00:00+00:00,Chainlink,20606
2018-03-18T00:00:00+00:00,Chainlink,20643
2018-03-19T00:00:00+00:00,Chainlink,20670
2018-03-20T00:00:00+00:00,Chainlink,20719
2018-03-21T00:00:00+00:00,Chainlink,20702
2018-03-22T00:00:00+00:00,Chainlink,20736
