author11,author10,author9,author8,author7,author6,author5,author4,author3,author2,author1,EIP_Number,Title,Author,Status,author1_id,author2_id,author3_id,author4_id,author5_id,author6_id,author7_id,author8_id,author9_id,author10_id,author11_id
,,,,,,,,,,andreasfreund,4910,Royalty Bearing NFTs,Andreas Freund,Review,224,,,,,,,,,,
,,,,,,,,,,ansgardietrichs,4396,Time-Aware Base Fee Calculation,Ansgar Dietrichs,Stagnant,200,,,,,,,,,,
,,,,,,,,,,antonwahrstatter,5564,Stealth Address Wallets,Anton Wahrstätter,Draft,273,,,,,,,,,,
,,,,,,,,,,aurynmacmillan,3722,Poster,Auryn Macmillan,Stagnant,191,,,,,,,,,,
,,,,,,,,,,bentinner,3143,Increase block rewards to 5 ETH,Ben Tinner,Stagnant,169,,,,,,,,,,
,,,,,,,,,,bradleyleatherwood,1080,Recoverable Token,Bradley Leatherwood,Stagnant,55,,,,,,,,,,
,,,,,,,,,,brianventuro,1295,Modify Ethereum PoW Incentive Structure and Delay Difficulty Bomb,Brian Venturo,Stagnant,80,,,,,,,,,,
,,,,,,,,,,brunobarbieri,1710,URL Format for Web3 Browsers,Bruno Barbieri,Stagnant,103,,,,,,,,,,
,,,,,,,,,,buzzcai,5484,Consensual Soulbound Tokens,Buzz Cai,Final,259,,,,,,,,,,
,,,,,,,,,,calvinkoder,3386,ERC-721 and ERC-1155 to ERC-20 Wrapper,Calvin Koder,Stagnant,178,,,,,,,,,,
,,,,,,,,,,carlbeekhuizen,2333,BLS12-381 Key Generation,Carl Beekhuizen,Stagnant,129,,,,,,,,,,
,,,,,,,,,,carlbeekhuizen,2334,BLS12-381 Deterministic Account Hierarchy,Carl Beekhuizen,Stagnant,129,,,,,,,,,,
,,,,,,,,,,carlbeekhuizen,2335,BLS12-381 Keystore,Carl Beekhuizen,Stagnant,129,,,,,,,,,,
,,,,,,,,,,carllarson,858,Reduce block reward and delay difficulty bomb,Carl Larson,Stagnant,38,,,,,,,,,,
,,,,,,,,,,caseydetrio,779,Hardfork Meta: DAO Fork,Casey Detrio,Final,34,,,,,,,,,,
,,,,,,,,,,charlescooper,1898,Add `blockHash` to defaultBlock methods,Charles Cooper,Draft,110,,,,,,,,,,
,,,,,,,,,,christianreitwiessner,5,Gas Usage for `RETURN` and `CALL*`,Christian Reitwiessner,Final,4,,,,,,,,,,
,,,,,,,,,,christianreitwiessner,196,Precompiled contracts for addition and scalar multiplication on the elliptic curve alt_bn128,Christian Reitwiessner,Final,4,,,,,,,,,,
,,,,,,,,,,christianreitwiessner,211,New opcodes: RETURNDATASIZE and RETURNDATACOPY,Christian Reitwiessner,Final,4,,,,,,,,,,
,,,,,,,,,,christophburgdorf,2481,eth/66 request identifier,Christoph Burgdorf,Final,135,,,,,,,,,,
,,,,,,,,,,christophelebars,5185,NFT Updatable Metadata Extension,Christophe Le Bars,Draft,248,,,,,,,,,,
,,,,,,,,,,christophmussenbrock,1523,Standard for Insurance Policies as ERC-721 Non Fungible Tokens,Christoph Mussenbrock,Stagnant,92,,,,,,,,,,
,,,,,,,,,,codyburns,698,OPCODE 0x46 BLOCKREWARD,Cody Burns,Stagnant,28,,,,,,,,,,
,,,,,,,,,,cygaar,5643,Subscription NFTs,cygaar,Review,285,,,,,,,,,,
,,,,,,,,,,danfinlay,2593,Escalator fee market change for ETH 1.0 chain,Dan Finlay,Stagnant,31,,,,,,,,,,
,,,,,,,,,,daniela.nagy,681,URL Format for Transaction Requests,Daniel A. Nagy,Final,25,,,,,,,,,,
,,,,,,,,,,daniellehrner,2009,Compliance Service,Daniel Lehrner,Stagnant,119,,,,,,,,,,
,,,,,,,,,,danielstreit,3450,Standardized Shamir Secret Sharing Scheme for BIP-39 Mnemonics,Daniel Streit,Stagnant,182,,,,,,,,,,
,,,,,,,,,,danieltedesco,4974,Ratings,Daniel Tedesco,Draft,231,,,,,,,,,,
,,,,,,,,,,dannoferrin,1872,Ethereum Network Upgrade Windows,Danno Ferrin,Stagnant,107,,,,,,,,,,
,,,,,,,,,,dannoferrin,3436,Expanded Clique Block Choice Rule,Danno Ferrin,Stagnant,107,,,,,,,,,,
