author_id,Full_Name,GitHub_Username,Client
1,Vitalik Buterin,vbuterin,"erigon, geth"
2,Martin Holst Swende,holiman,"erigon, geth, nethermind"
3,Joseph Chow,ethers,"erigon, geth, lighthouse"
4,Christian Reitwiessner,chriseth,
6,Felix Lange,fjl,"erigon, geth"
7,Fabian Vogelsteller,frozeman,"erigon, geth"
8,Alex Van de Sande,alexvansande,
9,Ronan Sandford,wighawag,
10,Nick Johnson,Arachnid,"erigon, geth"
11,Alex Beregszaszi,axic,"erigon, geth"
12,Tjaden Hess,tjade273,
13,Gavin Wood,gavofyork,"erigon, geth"
14,Maurelian,Maurelian,
16,Nick Mudge,mudgen,
17,Piper Merriam,pipermerriam,
18,Péter Szilágyi,karalabe,"erigon, geth"
19,Micah Zoltu,micahzoltu,
20,Greg Colvin,gcolvin,"erigon, geth"
22,Richard Moore,ricmoo,
23,Afri Schoedon,q9f,"besu, lighthouse, lodestar, nethermind, nimbuseth2, prysm, teku"
25,Nagy,nagydani,
27,Isaac Ardis,whilei,
29,Remco Bloemen,Recmo,
30,William Entriken,fulldecent,
31,Dan Finlay,DanFinlay,
34,Casey Detrio,cdetrio,"erigon, geth"
35,ligi,ligi,"erigon, geth"
36,Jordi Baylina,jbaylina,
42,Jorge Izquierdo,izqui,
44,Brooklyn Zelenka,expede,
45,James Ray,jamesray1,
49,Anderson Wesley,andywesley,
50,Danny Ryan,djrtwo,nimbuseth2
51,Nick Savers,nicksavers,"erigon, geth"
52,Tommy Nicholas,tomasienrbc,
53,Pelle Braendgaard,pelle,
58,Antonio Salazar Cardozo,shadowfiend,
60,Jan Turk,ThunderDeliverer,
62,Alexey Akhunov,AlexeyAkhunov,"erigon, geth"
63,Alan Lu,cag,
65,Peter Murray,yarrumretep,
66,Jet Lim,Nitro888,
68,Jim McDonald,mcdee,"besu, erigon, geth, lighthouse, prysm, teku"
70,Juliano Rizzo,juli,
71,Zainan Victor Zhou,xinbenlv,
73,Xiaoyu Wang,wxygeek,
74,SmeargleUsedFly,SmeargleUsedFly,
75,Chaitanya Potti,chaitanyapotti,
76,Francisco Giordano,frangio,
77,EOS Classic,eosclassicteam,
78,Wei Tang,sorpaas,
80,Brian Venturo,atlanticcrypto,
82,Richard Meissner,rmeissner,
83,Pawel Bylica,chfast,"erigon, geth, nimbuseth2"
84,Vittorio Minacori,vittominacori,
85,John Shiple,johnshiple,
87,Gerhard Wagner,thec00n,
90,Iamnot Chris,cohabo,
92,Christoph Mussenbrock,christoph2806,
93,Andrea Lanfranchi,AndreaLanfranchi,erigon
94,Michele Balistreri,bitgamma,
95,Ikmyeong Na,naikmyeong,
97,Yoav Weiss,yoavw,
98,0age,0age,
99,Paul Berg,PaulRBerg,"erigon, geth"
100,Billy Rennekamp,okwme,
101,Felix J Lange,fjl,"erigon, geth"
102,Alex Forshtat,forshtat,
103,Bruno Barbieri,brunobar79,
104,Lucas Cullen,BitcoinBrisbane,
105,Vincent Eli,Bunjin,
107,Danno Ferrin,shemnon,"besu, teku"
108,Gregory Markou,GregTheGreek,"besu, erigon, geth, lighthouse, lodestar"
110,Charles Cooper,charles-cooper,
111,Loredana Cirstea,loredanacirstea,
112,Shane Jonas,shanejonas,
113,Michael Connor,iAmMichaelConnor,
114,Johann Barbie,johannbarbie,
115,Alex Vlasov,shamatar,
116,Santiago Palladino,spalladino,
117,Lee Raj,lerajk,
120,Pedro Gomes,pedrouid,
122,James Hancock,MadeofTin,
123,Adrian Sutton,ajsutton,"besu, geth, teku"
124,John Adler,adlerjohn,"geth, lighthouse"
126,Sean Papanikolas,pizzarob,
127,Martin Lundfall,MrChico,
128,Dominic Letz,dominicletz,
130,Eric Conner,econoar,
131,James Choncholas,james-choncholas,
132,Ricardo Guilherme Schmidt,3esmit,
133,Edson Ayllon,edsonayllon,
134,Kristijan Sedlak,xpepermint,
135,Christoph Burgdorf,cburgdorf,
136,Barry WhiteHat,barryWhiteHat,
137,Filip Štamcar,filips123,
138,Hadrien Croubois,amxx,
139,Kelly Olson,ineffectualproperty,
140,Joseph Stockermans,jstoxrocky,
141,Hua Zhang,dgczhh,
142,Guillaume Ballet,gballet,"erigon, geth, lighthouse, prysm"
145,Matt Garnett,lightclient,"erigon, geth, lighthouse"
146,Aaron Kendall,jaerith,
147,Soham Zemse,zemse,
148,Joel Thorstensson,oed,
149,Giuseppe Bertone,Neurone,"besu, erigon, geth, teku"
150,Jonathan Underwood,junderw,
152,Sina Mahmoodi,s1na,"erigon, geth, prysm"
153,William Morriss,wjmelements,
154,Nick Gheorghita,njgheorghita,
155,Gianluca Perletti,Perlets9,
156,Zach Burks,vexycats,
157,Sergio Demian Lerner,SergioDemianLerner,
158,Matt,defifuture,
159,Peter Jihoon Kim,petejkim,
160,Peter Grassberger,PeterTheOne,
161,Youssef El Housni,yelhousni,
162,Herman Junge,hermanjunge,
163,Abdelhamid Bakhta,abdelhamidbakhta,"besu, teku"
164,Christopher Gorman,chgormanMH,
165,Sam Wilson,SamWilsn,lighthouse
166,Michael Sproul,michaelsproul,"lighthouse, nimbuseth2"
167,Erik Marks,rekmarks,
168,Zhenyu Sun,Ungigdu,
169,Ben Tinner,Terra854,
170,Alberto Cuesta Cañada,alcueca,
171,Weijia Zhang,weijia31415,
172,Victor Porton,vporton,
173,Justice Hudson,jchancehud,
175,mineruniter969,mineruniter969,
176,Query0x,Query0x,
177,Philippe Castonguay,PhABC,
178,Calvin Koder,ashrowz,
179,HexZorro,hexzorro,
180,Nathan Ginnever,nginnever,
181,pinkiebell,pinkiebell,lighthouse
182,Daniel Streit,danielstreit,
183,Yu Liu,yuliu-debond,
184,Alex Papageorgiou,alex-ppg,
185,Will Wang,will42w,
186,Sam Porter,SamPorter1984,
187,Gajinder Singh,g11in,
188,Dankrad Feist,dankrad,
189,Joachim Lebrun,Joachim-Lebrun,
190,Mikhail Kalinin,mkalinin,
191,Auryn Macmillan,auryn-macmillan,
192,Simon Tian,simontianx,
193,lightclient,lightclient,"erigon, geth, lighthouse"
194,Lukas Schor,lukasschor,
195,Anton Bukov,k06a,
196,Tim Beiko,timbeiko,"besu, teku"
197,Rex Creed,aug2uag,
198,Wayne Chang,wyc,
199,Jules Lai,julesl23,
200,Ansgar Dietrichs,adietrichs,
201,Daniel Ivanov,Daniel-K-Ivanov,lodestar
202,George Kadianakis,asn-d6,
203,Simon Fremaux,dievardump,
204,Javier Arcenegui,Hardblock-IMSE-CNM,
205,Brayton Goodall,Spore-Druid-Bray,
206,Ross Campbell,z0r0z,
207,William Schwab,wschwab,
208,Aaron Chen,aaronisme,
209,Joey Santoro,joeysantoro,
210,Omar Aflak,omaraflak,
211,David Kim,powerstream3604,
212,Benjamin Chodroff,benjaminchodroff,
213,Peter Davies,petertdavies,lighthouse
214,Andrei Maiboroda,gumb0,geth
215,Alex Stokes,ralexstokes,"geth, lighthouse"
216,David Buckman,davidbuckman,
217,qizhou,qizhou,
218,Joshua Tan,thelastjosh,
219,Pandapip1,Pandapip1,
220,Mark Mackey,ethDreamer,lighthouse
221,Andrew B Coathup,abcoathup,
222,Omnus Sunmo,omnus,
223,Anders,0xanders,
224,Andreas Freund,Therecanbeonlyone1969,
225,John Peterson,John-peterson-coinbase,
226,Marius Van Der Wijden,MariusVanDerWijden,"erigon, geth, lighthouse, prysm"
227,Víctor Muñoz,victormunoz,
228,Ignacio Mazzara,nachomazzara,
229,Shu Dong,dongshu2013,
230,Tim Daubenschütz,TimDaub,
231,Daniel Tedesco,dtedesco1,
232,Devin Conley,devinaconley,
233,Harikrishnan Mulackal,hrkrshnn,
234,Lance,LanceSnow,
235,Green,greenlucid,
236,Jarno Marttila,yaruno,
237,Alexi,alexi,
238,Tyler,radiocaca,
239,Mudit Gupta,maxsam4,geth
240,Luc van Kampen,lucemans,
241,Julian Traversa,JTraversa,
242,Vu Nguyen,mrenoon,
243,Wilkins Chung,wwhchung,
244,Tomasz Kajetan Stanczak,tkstanczak,nethermind
245,Brendan Asselstine,asselstine,
246,James,JamesSmartCell,
247,Yale ReiSoleil,longnshort,
248,Christophe Le Bars,clbrge,
249,DerivStudio,DerivStudio,
250,Agustín Aguilar,agusx1211,
251,Iván Mañús,ivanmmurciaua,
252,James Grimmelmann,grimmelm,
253,Hyungsuk Kang,hskang9,
254,Lerner,SergioDemianLerner,
255,Yan,yan253319066,
256,Stanley Wu,fruit37,
257,Samuele Marro,samuelemarro,
258,Zainan Zhou,xinbenlv,
259,Buzz Cai,buzzcai,
260,IronMan_CH,coderfengyun,
261,Jeremy Z,wnft,
262,Jan Smrža,smrza,
263,liszechung,liszechung,
264,elie222,elie222,
265,Lucas Martín Grasso Ramos,LucasGrasso,
266,Saber Yu,OniReimu,
267,StartfundInc,StartfundInc,
268,Philipp Bolte,strumswell,
269,Roy Osherove,royosherove,
270,Isaac Patka,ipatka,
271,Paul Gauvreau,0xpaulio,
272,Olivier Fernandez,fernandezOli,
273,Toni Wahrstätter,nerolation,
