,Name,Anonymity_Flag
79,Donn Trenton,0
80,Mikhail Mikheev,0
81,knarfeh,1
82,Samuel Marks,0
83,Sam Boyer,0
84,Xas,1
85,Lefteris Karapetsas,0
86,Slava Karpenko,0
87,Hendrik Hofstadt,0
88,dylanhuang,1
89,Amir Hossein,0
90,meows,1
91,Marcin Sobczak,0
92,Tomasz Stanczak,0
93,hexoscott,1
94,Kian,1
95,Vlad Bokov,0
96,6543,1
97,hwanjo,1
98,Dmitry Shulyak,0
99,maszrum,1
100,Stephan Tual,0
101,iFA,1
102,holisticode,1
103,Kristof Gazso,0
104,GuiltyMorishita,1
105,Ross,1
106,Guilherme Salgado,0
107,Josh Richardson,0
108,???,1
109,libotony,1
110,Hao Duan,0
111,Federico Gimenez,0
112,Eugene Valeyev,0
113,Helder Pinto,0
114,Emin Mahrt,0
115,S. Matthew English,0
116,Evgeny Danienko,0
117,Zahoor Mohamed,0
118,Hyung-Kyu Hqueue Choi,0
119,Frank Szendzielarz,0
120,?TH??SPH???,1
121,Jonas,1
122,Abd ar-Rahman Hamidi,0
123,Alex Willmer,0
124,Michael Montour,0
125,Lukasz Rozmej,0
126,Sylvain Laurent,0
127,Armin Braun,0
128,root,1
129,Giovanni HoSang,0
130,Leo Shklovskii,0
131,Enrique Jose  Avila Asapche,0
132,canepat,1
133,Furkan KAMACI,0
134,Fabian Vogelsteller,0
135,sanskarkhare,1
136,James Prestwich,0
137,tmohay,1
138,Yihau Chen,0
139,Fuyang Deng,0
140,Grant Noble,0
141,Bo Ye,0
142,kayla-henrie,1
143,Boqin Qin,0
144,Serhat ?evki Dinçer,0
145,Taeik Lim,0
146,Hsien-Tang Kao,0
147,pinges,1
148,Mason Fischer,0
149,cong,1
150,Sparty,1
151,Matt Whitehead,0
152,swaraj18,1
153,norwnd,1
154,Payne,1
155,sveneh,1
156,Taylor Gerring,0
157,Ziyuan Zhong,0
158,Alexandre Van de Sande,0
159,gfx,1
160,Sean Anderson,0
161,Javier Peletier,0
162,Jorge Arce-Garro,0
163,Ernesto del Toro,0
164,þ,1
165,Zou Guangxian,0
166,Max Revitt,0
167,Guillaume Ballet,0
168,Philippe Schommers,0
169,Lucas Saldanha,0
170,Jakub Freebit,0
171,Fabio Barone,0
172,Anatole,1
173,Destiner,1
174,JKinc,1
175,Pete,1
176,Anton Evangelatov,0
177,Ramesh Nair,0
178,Dexaran,1
179,Miguel Angel Rojo,0
180,Andrey Petrov,0
181,Zsfelfoldi,1
182,aperseghin,1
183,Caesar Chad,0
184,Nikifor Seryakov,0
185,chris-j-h,1
186,Temirlan,1
187,Lightcilent,1
188,steve greensill,0
189,Alexander Yastrebov,0
190,Felipe Faraggi,0
191,Fabio Di Fabio,0
192,cpusoft,1
193,Artem Tsebrovskiy,0
194,Geff Obscura,0
195,Pierre R,0
196,lupin012,1
197,smartprogrammer93,1
198,Marin Ivanov,0
199,HP,1
200,JU HYEONG PARK,0
201,ahamlat,1
202,Christian Felde,0
203,Shude Li,0
204,sonicWhale,1
205,Bryan Stitt,0
206,Chen Quan,0
207,thinkAfCod,1
208,JoranHonig,1
209,Mio,1
210,Kiel barry,0
211,qd-ethan,1
212,chidi onyema,0
213,Dave Appleton,0
214,Erichin,1
215,Wesley,1
216,Jeff Prestes,0
217,ycyraum,1
218,vdwijden,1
219,chenyufeng,1
220,Juan Cruz,0
221,yep,1
222,David Huie,0
223,Victor Farazdagi,0
224,chabashilah,1
225,Damian Orzechowski,0
226,Andy Chorlian,0
227,MrChico,1
228,Juuso Haavisto,0
229,xD AKA Rapper King Of cn background diablo & revelations,1
230,Krishna Upadhyaya,0
231,Felipe Strozberg,0
232,Martin Klepsch,0
233,kilic,1
234,Nicholas,1
235,Shunsuke Watanabe,0
236,shana,1
237,James Cunningham,0
238,Tuimf,1
239,EXEC,1
240,Egor Egorov,0
241,Charing,1
242,nicksavers,1
243,natdurlik,1
244,Michael Connor,0
245,zaccoding,1
246,Nick Savers,0
247,Alex Stokes,0
248,Liang Ma,0
249,komika,1
250,"Li, Cheng",0
251,mr_franklin,1
252,Leon,1
253,Marius van der Wijden,0
254,Antoine Rondelet,0
255,Maxim Krasilnikov,0
256,Ben Holden-Crowther,0
257,Johns Beharry,0
258,pinkiebell,1
259,Alex Wu,0
260,Zoe Nolan,0
261,Luca Zeug,0
262,Martin Michlmayr,0
263,ledgerwatch,1
264,Eric Kellstrand,0
265,Atkins,1
266,Somu Bhargava,0
267,Alexander Sadovskyi,0
268,George Angel,0
269,Deepak Sharma,0
270,Koosha K,0
271,Ömer Faruk Irmak,0
272,Ceelog,1
273,Kitten King,0
274,halilylm,1
275,awskii,1
276,Valentin Wüstholz,0
277,Ahyun,1
278,pk,1
279,ForLina,1
280,vim88,1
281,1337,1
282,Anton Nashatyrev,0
283,Andre Patta,0
284,reinerRubin,1
285,Roy Langa,0
286,Vivek Anand,0
287,Dragan Milic,0
288,Jeffrey Wilcke,0
289,Joel Burget,0
290,PegaSys Admin,0
291,Andrei Ivasko,0
292,jiang,1
293,Aron Fischer,0
294,Frenzoid,1
295,meehow,1
296,Osoro Bironga,0
297,Horacio Mijail Anton Quiles,0
298,Guifel,1
299,Magicking,1
300,Mariano Cortesi,0
301,Derek Gottfrid,0
302,jkcomment,1
303,Nikhil Suri,0
304,Koichi Shiraishi,0
305,Arba Sasmoyo,0
306,AleksAvila,1
307,Jens W,0
308,HAOYUatHZ,1
309,Mats Julian Olsen,0
310,Yohann Leon,0
311,ywzqwwt,1
312,Bruno kvorc,0
313,Nikita Kozhemyakin,0
314,bas-vk,1
315,Gregory Markou,0
316,cooganb,1
317,kikilass,1
318,Daniel Sloof,0
319,Joshua Colvin,0
320,oseau,1
321,Nalin Bhardwaj,0
322,Mr-Leshiy,1
323,Kaushik Donthi,0
324,cdetrio,1
325,Shihao Xia,0
326,Ferran Borreguero,0
327,Osuke,1
328,3nprob,1
329,Eric Robitaille,0
330,Tim Mustafin,0
331,Alex Prut,0
332,dragonvslinux,1
333,Franklin,1
334,Kristofer Peterson,0
335,henridf,1
336,Russel Waters,0
337,romanman,1
338,Julian Koh,0
339,Jean-André Santoni,0
340,Lazaridis,1
341,Smilenator,1
342,Roberto Saltini,0
343,Timo Tijhof,0
344,gurrpi,1
345,Edward Evans,0
346,Nick Ward,0
347,SjonHortensius,1
348,Sammy Libre,0
349,Eli Ben Sasson,0
350,Enrique Fynn,0
351,Afanasii Kurakin,0
352,chaals,1
353,Willian Mitsuda,0
354,Gregory Popovitch,0
355,Mike Burr,0
356,Harry Dutton,0
357,mempirate,1
358,Dmitry Savelev,0
359,Mikhail Vazhnov,0
360,Oskar Haarklou Veileborg,0
361,kevin.xu,0
362,Davor Kapsa,0
363,Aditya Arora,0
364,Roberto Bayardo,0
365,Pedro Gomes,0
366,Henrique Barcelos,0
367,Rohit Gupta,0
368,Chen Houwu,0
369,Daniel DeLima,0
370,hrthaowang,1
371,Steve Gattuso,0
372,Stephen Shelton,0
373,Kenso Trabing,0
374,Thibauld Favre,0
375,Ha DANG,0
376,=,1
377,Pulyak Viktor,0
378,Nick Dodson,0
379,slumber1122,1
380,icodezjb,1
381,Hao Bryan Cheng,0
382,Vinod Damle,0
383,Connor Stein,0
384,xincaosu,1
385,Erez Wanderman,0
386,Vitaly V,0
387,Rob Mulholand,0
388,Anusha,1
389,Julian Y,0
390,Zak Cole,0
391,Michael Forney,0
392,Rithwik Babu,0
393,Fefe,1
394,Mohamed Abdulaziz,0
395,Sad Pencil,0
396,Marius Kjærstad,0
397,Eval EXEC,0
398,ploui,1
399,Ricardo Guilherme Schmidt,0
400,Harsh Mishra,0
401,Jorge Mederos,0
402,njupt-moon,1
403,Puneetha Karamsetty,0
404,Gus,1
405,Justin Florentine,0
406,Paulo L F Casaretto,0
407,Chris Chinchilla,0
408,Kawashima,1
409,Jonathan Gimeno,0
410,Peter Simard,0
411,pietjepuk2,1
412,RJ Catalano,0
413,milesvant,1
414,nanevardanyan,1
415,Yier,1
416,glethuillier,1
417,Alex Mylonas,0
418,Zhenyang Shi,0
419,Justin Traglia,0
420,Vox,1
421,Janko Simonovic,0
422,Hellsegga,1
423,Domino Valdano,0
424,b00ris,1
425,mmsqe,1
426,Ward Bradt,0
427,Swarnim Pratap Singh,0
428,Daniel Celeda,0
429,Adrià Cidre,0
430,meowsbits,1
431,jacobhackman,1
432,Richard Hart,0
433,Daniel Katzan,0
434,Jonathan Otto,0
435,Corey Lin,0
436,Danno Ferrin,0
437,Benjamin Brent,0
438,Mark Holt,0
439,Lee Hyeon,0
440,Ricardo Silva,0
441,Ivo Georgiev,0
442,Saman H. Pasha,0
443,Paul Litvak,0
444,Philip Schlump,0
445,Taeguk Kwon,0
446,bernard-wagner,1
447,Maksim,1
448,catcs,1
449,Robert Zaremba,0
450,Anna Jab?onowska,0
451,Saravana Perumal Shanmugam,0
452,Jason Frame,0
453,setunapo,1
454,Ruohui Wang,0
455,Martin Holst Swende,0
456,a,1
457,Pierre Neter,0
458,Sachin Kumar Singh,0
459,Paul Harris,0
460,matkt,1
461,e-danko,1
462,David Cai,0
463,Gabriel-Trintinalia,1
464,bgravenorst,1
465,mohoff,1
466,zelig,1
467,tranvictor,1
468,Nikola Madjarevic,0
469,Prasanna Pendse,0
470,thomasmodeneis,1
471,Kasper Ziemianek,0
472,Park Changwan,0
473,obscuren,1
474,Mymskmkt,1
475,Hadrien Croubois,0
476,bgelb,1
477,mark.lin,1
478,Thomas Bocek,0
479,Jolly Zhao,0
480,Corey Farwell,0
481,Ralph Caraveo III,0
482,Levi Aul,0
483,zeim839,1
484,Bogdan Stirbat,0
485,Guruprasad Kamath,0
486,baptiste-b-pegasys,1
487,lzhfromustc,1
488,Pantelis Peslis,0
489,michael1011,1
490,Yusup,1
491,Jarrad Hope,0
492,needkane,1
493,evgk,1
494,tia-99,1
495,qiuhaohao,1
496,Benoit Verkindt,0
497,Firescar96,1
498,Shintaro Kaneko,0
499,Kumar Anirudha,0
500,Roman Mazalov,0
501,hadv,1
502,?ukasz Kurowski,0
503,Li Dongwei,0
504,Ethan Buchman,0
505,Clayton Jacobs,0
506,Antonio Salazar Cardozo,0
507,a-sklyarov,1
508,Pedro Novais,0
509,Peter (bitfly),1
510,Mohit Saxena,0
511,Or Neeman,0
512,aaronbuchwald,1
513,Jason Yellick,0
514,Steven Roose,0
515,Brent,1
516,Emmanuel T Odeke,0
517,Sebastian Stammler,0
518,Nicolas Gotchac,0
519,hero5512,1
520,Kirill Elagin,0
521,Gautam Botrel,0
522,Ratan Rai Sur,0
523,Zhang Zhuo,0
524,Alex Sharov,0
525,Michael de Hoog,0
526,Dmitriy Fishman,0
527,Drake Burroughs,0
528,SeaMonkey82,1
529,rene,1
530,Henning Diedrich,0
531,Obulapathi N Challa,0
532,chuwt,1
533,Dean,1
534,Ethan Heilman,0
535,Yehia Tarek,0
536,Christian Muehlhaeuser,0
537,Pierre Grimaud,0
538,Tobias Hildebrandt,0
539,Nicolas Guillaume,0
540,Thorsten Hirsch,0
541,Michael Ruminer,0
542,SaNNNNNNNN,1
543,Aditya Kode,0
544,Oleg Kovalov,0
545,AmitBRD,1
546,Diederik Loerakker,0
547,Kasia Turbiarz,0
548,David Murdoch,0
549,sixdays,1
550,rjl493456442,1
551,Sebastian Bathke,0
552,Sarlor,1
553,baizhenxuan,1
554,Kushagra Sharma,0
555,rekyyang,1
556,John Difool,0
557,Mudit Gupta,0
558,Zhengyan Gao,0
559,Eduard S,0
560,Victor Baranov,0
561,Kwuaint,1
562,Ariel Tempelhof,0
563,winsvega,1
564,Mathijs de Bruin,0
565,detailyang,1
566,Andrew Chiw,0
567,shiqinfeng1,1
568,Joe Clapis,0
569,Talha Cross,0
570,b1ackd0t,1
571,ult-bobonovski,0
572,Roman Koblov,0
573,Yondon Fu,0
574,Vie,1
575,chirag-bgh,1
576,Karim Taam,0
577,arkpar,1
578,Gabriel Camargo Fukushima,0
579,Jaynti Kanani,0
580,ayeowch,1
581,CJ Hare,0
582,Alexandr Borodulin,0
583,0xe3b0c4,1
584,Nimrod Gutman,0
585,Abel Nieto,0
586,Jorropo,1
587,mustafauzunn,1
588,calmbeing,1
589,Paul Berg,0
590,EOS Classic,0
591,Simon Jentzsch,0
592,Nickolay Savchenko,0
593,ag,1
594,zhangsoledad,1
595,tgyKomgo,1
596,LieutenantRoger,1
597,jeffersonwarrior,1
598,Peter Broadhurst,0
599,Jia Chenhui,0
600,Edward Mack,0
601,Vinicius Stevam,0
602,ryanc414,1
603,C. Brown,1
604,Manoj Kumar,0
605,Jason Carver,0
606,Sally MacFarlane,0
607,Robert Edström,0
608,Henry,1
609,Uttam Singh,1
610,Simon Dudley,0
611,6xiaowu9,1
612,Maran,1
613,MadelineMurray,1
614,Nguyen Kien Trung,0
615,Davide Savazzi,0
616,Felix Lange,0
617,Or Rikon,0
618,Amirul Ashraf,0
619,Kai Yeung,0
620,fynn.z,1
621,magooster,1
622,Crispin Flowerday,0
623,Alex Beregszaszi,0
624,xternet,1
625,Jonathan Verhees,0
626,Michelangelo Riccobene,0
627,Pascal Caversaccio,0
628,JoeGruffins,1
629,Husam Ibrahim,0
630,Chase Wright,0
631,Matt Kula,0
632,Martin Redmond,0
633,Mark Rushakoff,0
634,Adrian Sutton,0
635,Rafael Matias,0
636,William Morriss,0
637,Kamil Chodo?a,0
638,Kyuntae Ethan Kim,0
639,Kobi Gurkan,0
640,Thomas Jay Rush,0
641,Lautaro Emanuel,0
642,kumavis,1
643,alexqrid,1
644,Cayman Nava,0
645,Yao Zengzeng,0
646,fomotrader,1
647,? Elliot Shepherd,0
648,Rob Dawson,0
649,Jussi Virtanen,0
650,0xMaxMa,1
651,Dhruv Bodani,0
652,wbt,1
653,Janos Guljas,0
654,Lorenzo Manacorda,0
655,Jim McDonald,0
656,shigeyuki azuchi,0
657,Maxime Quandalle,0
658,Abirdcfly,1
659,jacksoom,1
660,DoubleWoodH,1
661,yahtoo,1
662,Freeman Jiang,0
663,Airead,1
664,Christopher Mckay,0
665,CrashOverride,1
666,Richard Patel,0
667,usmananwar,1
668,wuff1996,1
669,?????? ????? (Leonid Yuriev),0
670,hydai,1
671,soc1c,1
672,cui fliter,0
673,Andrew Ashikhmin,0
674,Ferenc Szabo,0
675,Shivam Sandbhor,0
676,ethers,1
677,Delweng,1
678,Ben Kirwin,0
679,Somnath Banerjee,0
680,PilkyuJung,1
681,Jonny Rhea,0
682,Luke Champine,0
683,George Hotz,0
684,courtier,1
685,Miguel Mota,0
686,LeoLiao,1
687,Enrique Ortiz,0
688,Ben Adams,0
689,Grachev Mikhail,0
690,DongXi Huang,0
691,Eng Zer Jun,0
692,Qian Bin,0
693,kkokosa,1
694,int88,1
695,Paul-Armand Verhaegen,0
696,G. Kay Lee,0
697,Kurkó Mihály,0
698,unknown,1
699,Matija Folnovic,0
700,Reg,1
701,Marc-André Dumas,0
702,Rajdeep Singh,0
703,Felix Yan,0
704,Wihan de Beer,0
705,williambannas,1
706,Justus,1
707,Rajaram Gaunker,0
708,Stéphane Loeuillet,0
709,tzapu,1
710,Victor Deleau,0
711,Saulius Grigaitis,0
712,Tim Myers,0
713,salanfe,1
714,Iskander (Alex) Sharipov,0
715,Bob Glickstein,0
716,Stefan Pingel,0
717,Bakuchi,1
718,Maximilian Meister,0
719,lailiuyuan,1
720,Marian OANC?A,0
721,willian.eth,1
722,Jeremy McNevin,0
723,Sasuke1964,1
724,xiekeyang,1
725,Lawrence Aiello,0
726,Bas van Kervel,0
727,Lewis Marshall,0
728,gregg dourgarian,0
729,Nilesh Trivedi,0
730,lmittmann,1
731,Steve Waldman,0
732,Elad Nachmias,0
733,Defido Coin,0
734,Amin Talebi,0
735,Piotr Dyraga,0
736,tsarpaul,1
737,Miguel Tenorio,0
738,Gavin Wood,0
739,joohhnnn,1
740,imulmat4,1
741,Gary Rong,0
742,benma,1
743,xq840622,1
744,VoR0220,1
745,Sandra Wang,0
746,Trent Mohay,0
747,dtan3847,1
748,Dan Melton,0
749,Arash,1
750,ferhat elmas,0
751,ethersphere,1
752,villesundell,1
753,uji,1
754,nkbai,1
755,yong,1
756,caktux,1
757,Ian Macalinao,0
758,storyicon,1
759,Zahary Karadjov,0
760,Isidoro Ghezzi,0
761,Tien,1
762,Jamie Pitts,0
763,Klaudia Jazgar,0
764,openex,1
765,The-Coomer,1
766,zyfrank,1
767,Brett Henderson,0
768,Jeffery Robert Walsh,0
769,atsushi-ishibashi,1
770,Jiri Peinlich,0
771,Greg Colvin,0
772,Fredrik Svantes,0
773,Heiko Heiko,0
774,rangzen,1
775,garyschulte,1
776,Seonggwon Yoon,0
777,Richard Littauer,0
778,net.wyman,1
779,Antoine Toulme,0
780,Olivier H,0
781,TBC Dev,0
782,Alex Sharp,0
783,George Carder,0
784,MichaelRiabzev-StarkWare,1
785,zgfzgf,1
786,Kris Shinn,0
787,turboboost55,1
788,zhiqiangxu,1
789,Joseph Goulden,0
790,Stein Dekker,0
791,necaremus,1
792,banteg,1
793,Piotr Gankiewicz,0
794,Markus Keil,0
795,Water,1
796,Steven E. Harris,0
797,Diego Siqueira,0
798,farwayer,1
799,Chris Pacia,0
800,Nic Jansma,0
801,Valentin Trinqué,0
802,DenrianWeiss,1
803,Devon Bear,0
804,Ikko Ashimine,0
805,Balint Gabor,0
806,fenghaojiang,1
807,Jonathan Brown,0
808,Leonardo Yvens,0
809,mbaxter,1
810,Tristan-Wilson,1
811,lwh,1
812,manlio,1
813,Seungbae Yu,0
814,mace,1
815,strykerin,1
816,Mihai Onila,0
817,Tanishq Jasoria,0
818,Arun kumar,0
819,Elias Naur,0
820,Fox Reymann,0
821,Attila Gazso,0
822,Jake Haugen,0
823,me020523,1
824,xinbenlv,1
825,ImanSharaf,1
826,SilentCicero,1
827,Pavol Rusnak,0
828,a e r t h,0
829,Nikita Mescheryakov,0
830,Carl Allendorph,0
831,Frank Li,0
832,Mike Neuder,0
833,Joseph Cook,0
834,Usman Saleem,0
835,bailantaotao,1
836,Steven Gregg,0
837,Eugene Lepeico,0
838,panicalways,1
839,Antony Denyer,0
840,Reinhard Schu,0
841,Dmitry Savonin,0
842,Satpal,1
843,Felföldi Zsolt,0
844,makcandrov,1
845,Eduardo Antuña Díez,0
846,piersy,1
847,Martin Becze,0
848,wangxiang,1
849,flowerofdream,1
850,Peter Lai,0
851,Yoichi Hirai,0
852,David Mechler,0
853,Ali92hm,1
854,Peter Szilagyi,0
855,Mark Tyneway,0
856,lonika,1
857,Vladyslav Lupashevskyi,0
858,Bing Clo,0
859,Matthew Di Ferrante,0
860,Zach Burks,0
861,am2rican5,1
862,Quest Henkart,0
863,nolash,1
864,Brion,1
865,thumb8432,1
866,Blockchain-Trainer,1
867,isdyaufh8o7cq,1
868,tamirms,1
869,George Ornbo,0
870,Jaanek Oja,0
871,Maxim Zhiburt,0
872,Gerald Nash,0
873,subtly,1
874,Petr Mikusek,0
875,Harry Kalodner,0
876,Fire Man,0
877,Nick Kjolsing,0
878,tintin,1
879,Nathan (Blaise) Bruer,0
880,Marek Moraczynski,0
881,Marius,1
882,Ali Atiia,0
883,Agustin Armellini Fischer,0
884,Alireza Arjmand,0
885,raulk,1
886,CarstenNZ,1
887,Justin Clark-Casey,0
888,Alberto Hernandez,0
889,Kenji Siu,0
890,Adam Schmideg,0
891,divergencetech,1
892,Egon Elbre,0
893,gladcow,1
894,Sumit Sarin,0
895,Joshua Fernandes,0
896,Dave Conroy,0
897,Parithosh Jayanthi,0
898,Ayman Bouchareb,0
899,Matthew Wampler-Doty,0
900,yoza,1
901,Sasha Duke,0
902,juroberttyb,1
903,lash,1
904,Daniel Choi,0
905,Nicola Cocchiaro,0
906,fab-10,1
907,Anshul Yadav,0
908,Shawn Zheng,0
909,sunxiaojun2014,1
910,Chi Kei Chan,0
911,Armani Ferrante,0
912,matilote,1
913,Addy Yeow,0
914,Alpay Yildirim,0
915,Roderik van der Veer,0
916,Jeff Wentworth,0
917,Hanjiang Yu,0
918,Viktor Trón,0
919,jt9897253,1
920,?ukasz Zimnoch,0
921,YH-Zhou,1
922,Leonard Chinonso,0
923,iszubok,1
924,Andrei Maiboroda,0
925,Liang ZOU,0
926,Philip Fan,0
927,Victor Shyba,0
928,Christopher Harrison,0
929,Joey Zhou,0
930,Jesse Tane,0
931,stormpang,1
932,Nischal Sharma,0
933,Matt Gucci,0
934,Diep Pham,0
935,anthonybuckle,1
936,||= nil,0
937,zhaochonghe,1
938,mark-terry,1
939,annaszeszula,1
940,Roc Yu,0
941,nicky g,0
942,peter cresswell,0
943,Vaibhaw,1
944,tripplegreen,1
945,Guillaume Lethuillier,0
946,ANOTHEL,1
947,bloonfield,1
948,Ev,1
949,Oli Bye,0
950,Edgar Aroutiounian,0
951,Flash Sheridan,0
952,Balaji Shetty Pachai,0
953,Noman,1
954,Matt Nelson,0
955,Gustavo Silva,0
956,Dmitrij Koniajev,0
957,Sungwoo Kim,0
958,bl0up,1
959,Georgios Konstantopoulos,0
960,Jordan Krage,0
961,Sanghee Choi,0
962,Di Peng,0
963,Daniel A. Nagy,0
964,Daniel Fernandes,0
965,Nikita Kryuchkov,0
966,Darioush Jalali,0
967,Darrel Herbst,0
968,emhane,1
969,primal_concrete_sledge,1
970,Russ Cox,0
971,CHAMI Rachid,0
972,Ivan Aracki,0
973,Alex Mazalov,0
974,Adam Spiers,0
975,Brandon Holland,0
976,stompesi,1
977,Oleg Jakushkin,0
978,Boqin@MetaSecureLabs,1
979,Fabio Berger,0
980,Leif Jurvetson,0
981,Luke Yeager,0
982,Dan Cline,0
983,Mark Evenson,0
984,Lion - dapplion,0
985,Alejandro Isaza,0
986,terrencecooke,1
987,Adam Babik,0
988,changhong,1
989,sandakersmann,1
990,Try Space,0
991,varasev,1
992,Shane Bammel,0
993,Zachinquarantine,1
994,Natsu Kagami,0
995,Szymon Kulec,0
996,Yurie,1
997,KibGzr,1
998,waymobetta,1
999,Steven Dee,0
1000,rhaps107,1
1001,Javier Sagredo,0
1002,gaia,1
1003,ligi,1
1004,Hamza Shafique,0
1005,Geon Kim,0
1006,Ivan Daniluk,0
1007,dmitriyselivanov,1
1008,alon muroch,0
1009,Ahmad Bitar,0
1010,Lee Bousfield,0
1011,Steve Ruckdashel,0
1012,zer0to0ne,1
1013,CDsigma,1
1014,Rachel Bousfield,0
1015,Tyler Chambers,0
1016,Xinyang,1
1017,Guillaume NICOLAS,0
1018,Mateusz Morusiewicz,0
1019,Max Sistemich,0
1020,Shinto C V,0
1021,Steve Mieskoski,0
1022,Nguyen Sy Thanh Son,0
1023,Ali Hajimirza,0
1024,Laura Bailey,0
1025,lhendre,1
1026,Tosh Camille,0
1027,williamberman,1
1028,Vedhavyas Singareddi,0
1029,Gari Singh,0
1030,Suyash Nayan,0
1031,Dan DeGreef,0
1032,omahs,1
1033,xwjack,1
1034,Abdelhamid Bakhta,0
1035,sarah,1
1036,Amit Panghal,0
1037,Mateusz J,0
1038,Dave McGregor,0
1039,Groute,1
1040,John Adler,0
1041,dipingxian2,1
1042,Ahmet Avci,0
1043,David Hwang,0
1044,Anton Markelov,0
1045,Manav Darji,0
1046,weimumu,1
1047,brendan-kelly,0
1048,TY,1
1049,Nebojsa Urosevic,0
1050,Falco,1
1051,jwasinger,1
1052,chenglin,1
1053,Greg Myers,0
1054,Kosuke Taniguchi,0
1055,Ricardo Domingos,0
1056,wanderer,1
1057,Ruben Buniatyan,0
1058,Suriyaa Sundararuban,0
1059,sharad-develop,1
1060,Steven Schroeder,0
1061,Chawin Aiemvaravutigul,0
1062,racytech,1
1063,Dmitry Zenovich,0
1064,Ryan Schneider,0
1065,Roman Krasiuk,0
1066,Ales Katona,0
1067,ken10100147,1
1068,Prince Sinha,0
1069,timothy,1
1070,Jay Guo,0
1071,Miya Chen,0
1072,Anshal Shukla,0
1073,Adrian Sabau,0
1074,cgst,1
1075,Nishant Das,0
1076,Lio??,1
1077,ucwong,1
1078,Mskxn,1
1079,FrankWang,1
1080,Vincent Serpoul,0
1081,Edwin Greene,0
1082,Joe Netti,0
1083,Evolution404,1
1084,kevaundray,1
1085,Benjamin Prosnitz,0
1086,yperbasis,1
1087,yihuang,1
1088,Yole,1
1089,yutianwu,1
1090,Nicolas MASSART,0
1091,Making GitHub Delicious,0
1092,Marian Oancea,0
1093,tbocek,1
1094,Grzegorz Lesniakiewicz,0
1095,foxreymann,1
1096,zcheng9,1
1097,Jeff Rossiter,0
1098,Koustubh Sinkar,0
1099,Thomas Taylor,0
1100,Luozhu,1
1101,villanuevawill,1
1102,Manoj Mamidyala,0
1103,Denver,1
1104,croath,1
1105,battlmonstr,1
1106,Mohanson,1
1107,Emil,1
1108,Micah Zoltu,0
1109,Rémy Roy,0
1110,Tatsuya Shimoda,0
1111,Roman Vaseev,0
1112,Hector Chu,0
1113,1swaraj,1
1114,Obtuse7772,1
1115,David Dzhalaev,0
1116,Binacs,1
1117,Fabian Raetz,0
1118,Ivan Kuznetsov,0
1119,Brian Schroeder,0
1120,Suhabe Bugrara,0
1121,Timur Badretdinov,0
1122,Richard Schumann,0
1123,Pawel Bylica,0
1124,Chris Ziogas,0
1125,Dan Kinsley,0
1126,Igor Mandrigin,0
1127,Camilo Reis Dotto,0
1128,Shiming,1
1129,Paul Lange,0
1130,Sebastian Supreme,0
1131,formatting,1
1132,Evangelos Pappas,0
1133,mikolajsobolewski,1
1134,Peter Robinson,0
1135,gluk256,1
1136,kimmylin,1
1137,Yang Hau,0
1138,michaelscheung,1
1139,John C. Vernaleo,0
1140,libby kent,0
1141,terasum,1
1142,Pedro Pombeiro,0
1143,RP27,1
1144,Bartosz Kreft,0
1145,noam-alchemy,1
1146,shuo,1
1147,KimMachineGun,1
1148,Marek Kotewicz,0
1149,Miro,1
