,0,0
0,Seananderson,Iannorden
1,Jules,James
2,Roberto B,Brett Robertson
3,Roberto B,Robert Drost
4,Roberto B,Roberto Bayardo
5,Alexey,Alexey Akhunov
6,Alexey,Alex Stokes
7,Alexey,Alenque
8,Alexey,Amexiane
9,Alexey,Alex B.
10,Alexey,AlexLG
11,Alexey,Alex G
12,Alexey,Alex Beregsz
13,Alexey,Alexey Osipov
14,Alexey,Alex St
15,Dimitry Khokhlov (EF: cpp-ethereum,Dimitry Khokhlov
16,Dimitry Khokhlov (EF: cpp-ethereum,Dimitry Khoklov
17,Phil Lucsok,Phil No
18,Phil Lucsok,Phil Ngo
19,Gottfried Herold,George Hervey
20,Jim Bennett,Tim Be
21,Jim Bennett,Dan Burnett
22,Tomasz Stancxak,Tomasz S
23,Tomasz Stancxak,Tomasz
24,Tomasz Stancxak,Tomasz Drwiega
25,Tomasz Stancxak,Thomasz S.
26,Andrian,Adria Massanet
27,Andrian,Andrew Forman
28,Andrian,Hind Kurhan
29,Andrian,Adrian Manning
30,Andrian,Andrew
31,Andrian,Afri
32,Andrian,Adrian Sutton
33,Andrian,Andreas Freund
34,Andrian,Brian
35,Danny Ferrin,Dan Finlay
36,Danny Ferrin,DanKrad Feist
37,Danny Ferrin,Danny
38,Danny Ferrin,Danny.
39,Danny Ferrin,Dankrad Feist
40,Danny Ferrin,Danny Ryan
41,Daniel Lehrner,Daniel Ellison
42,Daniel Lehrner,Daniel Nagy
43,Daniel Lehrner,Daniel Weaver
44,Daniel Lehrner,Daniel Heyman
45,Daniel Lehrner,Daniel Celeda
46,Daniel Lehrner,Dan Burnett
47,Alex Vlasov,Alexey Akhunov
48,Alex Vlasov,Alex axic
49,Alex Vlasov,Alex Stokes
50,Alex Vlasov,Alex B.
51,Alex Vlasov,Alex G
52,Alex Vlasov,Alexey Osipov
53,Alex Vlasov,Alex St
54,Josh R,JosephC
55,Josh R,Joshua Rudolf
56,Josh R,Joseph Lubin
57,Josh R,Joseph Chow
58,Josh R,Johnny Rhea
59,Josh R,Jose
60,Josh R,John
61,Josh R,Joshua Rudolph
62,Matthew Slipper,Matt Halpern
63,Matthew Slipper,Matthew English
64,Matthew Slipper,Matthew Di Ferrante
65,Matthew Slipper,Matthew Rodriguez
66,Stefen George,Helengeorge
67,TurboTrent,Trent
68,Jan Xie,Jan Winklemann
69,Jan Xie,Lane
70,Jan Xie,Jacek Sieka
71,Jan Xie,Alan Li
72,Jan Xie,Jami Lokier
