,Original_Name,Replace_Name
0,Alex Beregszaszi,Alex Beregszaszi
1,Brent Allsop,Brent Allsop
2,Brett Robertson,Brett Robertson
3,Casey Detrio,Casey Detrio
4,Daniel Ellison,Daniel Ellison
5,Guillaume,Guillaume Ballet
6,Hudson Jameson,Hudson Jameson
7,James Hancock,James Hancock
8,James Prestwich,James Prestwich
9,Jim,Jim Bennett
10,Jordi Baylina,Jordi Baylina
11,JosephC,Joseph Chow
12,Kobi Gurkian,Kobi Gurkan
13,Matt Garnett,Matt Garnett
14,Matt Luongo,Matt Luongo
15,Michael LaCroix,Michael LaCroix
16,PaweÃÂ Bylica,Pawel Byilca
17,Phil Lucsok,Phil Lucsak
18,Rick Dudley,Rick Dudley
19,Tim Beiko,Tim Bieko
20,Trenton Van Epps,Trenton van Epps
21,Wei Tang,Wei Tang
22,Will Villanueva,Will Villanueva
23,Alex,Alex Beregszaszi
24,Alex Vlasov,Alex Vlasov
25,Alexey Akhunov,Alexey Akhunov
26,Artem Vorotnikov,Artem Vorotnikov
27,Edson Ayllon,Edson Ayllon
28,Greg Colvin,Greg Colvin
29,Hudson Jameson,Hudson Jameson
30,Martin Hoist Swende,Martin Holst Swende
31,Matt,Matt Garnett
32,Peter Szilagyi,Peter Szilagyi
33,Pooja Ranjan,Pooja Ranjan
34,Rai,Rai Ratan Sur
35,Tim Beiko,Tim Bieko
36,Tomasz Stanczak,Thomasz Stancsak
37,Vitalik Buterin,Vitalik Buterin
38,Will Villanueva,Will Villanueva
39,Alexey Akhunov,Alexey Akhunov
40,Boris Mann,Louis Guthmann
41,Brett Robertson,Brett Robertson
42,Daniel Ellison,Daniel Ellison
43,Dankrad Feist,Dankrad Feist
44,Danno Ferrin,Danno Ferrin
45,Danny Ryan,Danny Ryan
46,Dimitry Khoklov,Dimitry Khokhlov
47,Eric Kellstrand,Eric Kellstrand
48,Felix Lange,Felix Lange
49,Fredrik Harrysson,Frederik Harryson
50,Greg Colvin,Greg Colvin
51,Guillaume Ballet,Guillaume Ballet
52,Hudson Jameson,Hudson Jameson
53,Ivaylo,Ivaylo
54,Jacek Sieka,Jacek Sieka
55,Jason Carver,Jason Carver
56,Jon Stevens,Jon Stevens
57,Martin Holst,Martin Holst Swende
58,Matthew Halpern,Matthew Halpern
59,Meredith Baxter,Meredith Baxter
60,Peter Szilagyi,Peter Szilagyi
61,Pooja Ranjan,Pooja Ranjan
62,Tim Beiko,Tim Bieko
63,Trenton Van Epps,Trenton van Epps
64,Vitalik Buterin,Vitalik Buterin
65,Alexey Akhunov,Alexey Akhunov
66,Meredith Baxter,Meredith Baxter
67,PaweÃÂ Bylica,Pawel Byilca
68,Vitalik Buterin,Vitalik Buterin
69,Greg Colvin,Greg Colvin
70,Dmitrii,Dimitry Khokhlov
71,Daniel Ellison,Daniel Ellison
72,Matthew English,Matthew English
73,Hudson Jameson,Hudson Jameson
74,Eric Kellstrand,Eric Kellstrand
75,Lane Rettig,Lane Rettig
76,Danny Ryan,Danny Ryan
77,Jacek Sieka,Jacek Sieka
78,Martin Holst Swende,Martin Holst Swende
79,Miss If (If-Def-Else/ProgPoW,Miss If (If-Def-Else/ProgPoW
80,Alex Beregszaszi,Alex Beregszaszi
81,Alex Van de Sande,Alex Van de Sande
82,Andrei Maiboroda,Andrei Maiboroda
83,Arkadiy Paronyan,Arkadiy Paronyan
84,Casey Detrio,Casey Detrio
85,Christian Reitwiessner,Christian Reitweissner
86,Dimitry Khokhlov,Dimitry Khokhlov
87,Greg Colvin,Greg Colvin
88,Hudson Jameson,Hudson Jameson
89,Lefteris Karapetsas,Lefteris Karapetsas
90,Martin Holst Swende,Martin Holst Swende
91,Nick Johnson,Nick Johnson
92,PaweÃÂ Bylica,Pawel Byilca
93,Vitalik Buter,Vitalik Buterin
94,Alex Vlasov,Alex Vlasov
95,Artem,Artem Vorotnikov
96,Daniel Ellison,Daniel Ellison
97,Danno Ferris,Danno Ferrin
98,Gandalf,Gandalf
99,Gichiba,Gichiba
100,Greg Markou,Greg Markou
101,Hudson Jameson,Hudson Jameson
102,James Hancock,James Hancock
103,Louis Guthmann,Louis Guthmann
104,Martin Holst Swende,Martin Holst Swende
105,Pooja Ranjan,Pooja Ranjan
106,Shane Jonas,Shane Jonas
107,Tim Beiko,Tim Bieko
108,Trenton Van Epps,Trenton van Epps
109,Wei Tang,Wei Tang
110,Zachary Belford,Zachary Belford
111,NONE,
112,Hudson Jameson,Hudson Jameson
113,Danno Ferrin,Danno Ferrin
114,James Hancock,James Hancock
115,Alex Beregszaszi,Alex Beregszaszi
116,Brent Allsop,Brent Allsop
117,Daniel Ellison,Daniel Ellison
118,Dimitry Khoklov,Dimitry Khokhlov
119,Jim Bennett,Jim Bennett
120,Karalabe,Karalabe
121,Martin Holst Swende,Martin Holst Swende
122,Matthias,Matthias
123,Peter Szilagyi,Peter Szilagyi
124,Piper Merriam,Piper Merriam
125,Pooja Ranjan,Pooja Ranjan
126,Tim Beiko,Tim Bieko
127,Tomasz Stanczak,Thomasz Stancsak
128,Trenton Van Epps,Trenton van Epps
129,Wei Tang,Wei Tang
130,Alex Beregszaszi,Alex Beregszaszi
131,Alex Van de Sande,Alex Van de Sande
132,Anton Nashatyrev,Anton Nashatyrev
133,Casey Detrio,Casey Detrio
134,Christian Reitwiessner,Christian Reitweissner
135,Dan Finlay,Dan Finlay
136,Dimitry Khokhlov,Dimitry Khokhlov
137,Felix Lange,Felix Lange
138,Gavin Wood,Gavin Wood
139,Greg Colvin,Greg Colvin
140,Hudson Jameson,Hudson Jameson
141,Jan Xie (ruby-ethereum,Jan Xie
142,pyethereum),pyethereum)
143,Jeffrey Wilcke,Jeffrey Wilcke
144,Martin Becze,Martin Becze
145,PÃÂ©ter SzilÃÂ¡gyi,Peter Szilagyi
146,Vitalik Buterin (,Vitalik Buterin
147,Hudson Jameson,Hudson Jameson
148,Charles St. Louis,Charles St Louis
149,Alexey Akhunov,Alexey Akhunov
150,Yoav Weiss,Yoav Weiss
151,AC,AC
152,Afri Schoedon,Afri Schoeden
153,Alex,Alex Beregszaszi
154,Alex Beregszaszi,Alex Beregszaszi
155,Andrea Lanfranchi,Andrea Lanfranchi
156,Ben Burns,Ben Burns
157,Chainsecurity,Chainsecurity
158,Daniel Ellison,Daniel Ellison
159,Danno Ferrin,Danno Ferrin
160,Danny Ryan,Danny Ryan
161,David Murdoch,David Murdoch
162,Dimitry Khoklov,Dimitry Khokhlov
163,Evan Sultanik,Evan Sultanik
164,FJL,Felix Lange
165,Fredrik Harrysson,Frederik Harryson
166,Guillaume Ballet,Guillaume Ballet
167,Hacktar,Hacktar
168,Hubert,Hubert
169,Jay Welsh,Jay Welsh
170,Josselin Feist,Josselin Feist
171,Karalabe,Karalabe
172,Lane Rettig,Lane Rettig
173,Martin Holst Swende,Martin Holst Swende
174,Meredith Baxter,Meredith Baxter
175,Afri Schoedon,Afri Schoeden
176,Christian Reitwiessener,Christian Reitweissner
177,Daniel Nagy,Daniel Nagy
178,Daniel Ellison,Daniel Ellison
179,Danny Ryan,Danny Ryan
180,Dimitry Khokhlov (EF: cpp-ethereum,Dimitry Khokhlov
181,testing),
182,PaweÃÂ Bylica,Pawel Byilca
183,Martin Holst Swende,Martin Holst Swende
184,Nick Johnson,Nick Johnson
185,Thibaut Sardan,Thibaut Sardan
186,Mikhail Kalanin,Mikhail Kalinin
187,Fredrik Harryson,Frederik Harryson
188,Vitalik Buterin (,Vitalik Buterin
189,Alex Guchowski,Alex Gluchowski
190,Alex Vlasov,Alex Vlasov
191,Adrian Sutton,Adrian Sutton
192,Casey Detrio,Casey Detrio
193,Danno Ferrin,Danno Ferrin
194,Dimitry Khoklov,Dimitry Khokhlov
195,Georgios K,Georgios Konstantopoulos
196,James Hancock,James Hancock
197,Rick Dudley,Rick Dudley
198,Tim Beiko,Tim Bieko
199,Tomasz Stanczak,Thomasz Stancsak
200,Leonardo Alt,Leonardo Alt
201,Vitalik,Vitalik Buterin
202,Hudson,Hudson Jameson
203,Edson,Edson Ayllon
204,Pooja,Pooja Ranjan
205,Daniel Ellison,Daniel Ellison
206,James Hancock,James Hancock
207,Danny,Danny Ryan
208,David Mechler,David Mechler
209,Lightclient,Lightcilent
210,Martin Holst,Martin Holst Swende
211,Axic,Axic
212,Artem Vorotnikov,Artem Vorotnikov
213,Tim Beiko,Tim Bieko
214,Alita Moore,Alita Moore
215,Peter Szilagyi,Peter Szilagyi
216,Alexey Akhunov,Alexey Akhunov
217,Tomasz Stanczak,Thomasz Stancsak
218,Pawel Bylica,Pawel Byilca
219,Alex Vlasov,Alex Vlasov
220,Alex Beregszaszi,Alex Beregszaszi
221,Alex Vlasov,Alex Vlasov
