Names_to_Keep,Names_to_Replace
Alex Gluchowski,Alex G
Alexey Akhunov,Alexey A.
Alex axic,Axic
Barnabas Busa,Barnabas
Caspar Schwarz-Schilling,Caspar Schwarz
Caspar Schwarz-Schilling,Caspar Schwarz
Chami Rachid,Adam Schmideg
Charles C,Charlie
Dankrad Feist,Dankrad
Danno Fertin,Danno
Danno Ferrin,Danno
Danno Ferris,Danno
Diederik Loerakker,Diederik Loerakker protolambda
Dimitry Khoklov,Dimitry Khokhlov (EF: cpp-ethereum
Edson Ayllon,Edson
Eleazar Galano,E.G. Galano
Eugene Danilenko,Eugene D.
Fabio de Fabio,Fabio Di
Fabio de Fabio,Fabio Di Fabio
Felix Lange,Felix
Frederik Harrysson,Fredrik
Frederik Harrysson,Fred
Georgios Konstantopoulos,Georgios K
Greg Colvin,Gcolvin
Guillaume Ballet,Guillaume
Holger Drewes,Hdrewes
Hudson Jameson,Hudson
Jacek Glen,Jacek
Jacek Sieka,Jacek Sieka (Status/Nim
Kasey Kirkham,Kasey
Lane Rettig,Lane R
Lukasz Rozmej,Lukasz
Lukasz Rozmej,Lucasz R.
Lukasz Rozmej,Lukasz
Marcelo Ruiz de Olano,Marcelo Ruiz
Marek Moroczynski,Marek M
Matthias,Matt
Micah Zoltou,Micah
Michael LaCroix,Michael Carter
Mikhail Melnik,Mikhail
Mikhail Kalanin,Mikhail
Neville Grech,Neville
Pari,pari
Pawel Bylica,Pamel B.
Pawel Bylica,Pawel
Phil Ngo,Phil
Rai Sur,Rai
Rai Ratan Sur,Rai Sur
Roberto Bayardo,Roberto B
Saulius Grigaitis,Saulius
Viktor Shepelin,Viktor
Vitalik Buterin,Vitalik
Zachary Belford,Zahary
Zsfelfoldi,Zsolt FelfÃÂ¶ldi
Zuerlein,Zuer
