Names_to_Keep,Names_to_Replace
Elad Nachmias,Elad
fynn.z,Fynn
HP,hp
Jay Guo,Jay
Karim Taam,Karim T
Lightcilent,lightclient
Mark Evenson,Mark
Martin Becze,martin becze
Mateusz J,Mateusz J?drzejewski
Paul Berg,Paul
Pawel Byilca,Pawe? Bylica
Diederik Loerakker,protolambda
RJ Catalano,RJ
Rob Dawson,Rob
sam bacha,Sam
Vlad Bokov,Vlad
