id,name,n_eip,between,close,eigen
5,Hudson Jameson,1,0.0,0.0,2.2223919970860852e-39
19,Micah Zoltu,5,0.0,0.15755550956449754,2.3846681719764037e-06
685,Qi Zhou,2,0.0005441683294032287,0.03355704697986577,4.056593722814101e-19
59,g. nicholas d'andrea,1,0.0,0.1534982861422358,7.442875574816755e-07
223,Anders,5,0.019045891529113006,0.12001711634611054,5.473989847768232e-07
33,Jacques Dafflon,3,0.0,0.13808919178046694,1.4242801708756941e-06
292,Bruno kvorc,4,2.2673680391801197e-05,0.03355704697986577,0.45938099527228404
264,elie222,1,0.0,0.14902125279642056,2.522714894898392e-06
16,Nick Mudge,2,0.0,0.11882093246226226,5.851955036913247e-07
9,Ronan Sandford,2,0.0306828880654384,0.19759724127702177,2.4364243663591097e-05
30,William Entriken,3,0.03083620533284963,0.19332486849265373,4.480528192890444e-06
65,Peter Murray,1,0.0,0.013422818791946308,4.11813723814328e-24
116,Santiago Palladino,1,0.0,0.14306040268456374,2.5822456497635557e-06
267,StartfundInc,1,0.0,0.0,2.2223919970860852e-39
4,Christian Reitwiessner,2,0.07890440776346816,0.2043720038350911,4.676471213242615e-06
230,Tim Daubenschütz,2,0.02503174315254852,0.15415991668595233,2.5758545370976946e-06
246,James,1,0.0,0.006711409395973154,9.545100946376863e-30
633,5660-eth,2,0.0,0.026845637583892617,9.046024222315273e-16
661,Gavin John,9,0.07354694099660544,0.21288750399488657,2.6369781296656364e-05
71,Zainan Victor Zhou,3,0.0,0.006711409395973154,9.545100946376863e-30
127,Martin Lundfall,1,0.0,0.0,2.2223919970860852e-39
286,Naim Ashhab,1,0.0,0.0,2.2223919970860852e-39
36,Jordi Baylina,4,0.01287865046254308,0.1902398971869199,4.765281003435527e-06
185,Will Wang,1,0.0,0.03355704697986577,1.7687264758265148e-14
17,Piper Merriam,2,0.02503174315254852,0.15617947891327924,7.808817622784249e-07
212,Benjamin Chodroff,1,0.0,0.006711409395973154,9.545100946376863e-30
31,Dan Finlay,3,0.006847451478323963,0.15617947891327924,6.117010906612697e-06
274,Sean Darcy,1,0.0,0.0,2.2223919970860852e-39
257,Samuele Marro,1,0.0,0.006711409395973154,9.545100946376863e-30
259,Buzz Cai,1,0.0,0.0,2.2223919970860852e-39
123,Adrian Sutton,1,0.0,0.0,2.2223919970860852e-39
64,Witek Radomski,1,0.0,0.1465782814391022,3.962238428361176e-06
52,Tommy Nicholas,1,0.0,0.15415991668595233,3.7025241523822898e-06
76,Francisco Giordano,3,0.004965536005804462,0.15027353223168463,3.897110897249975e-06
29,Remco Bloemen,1,0.0,0.11107174121472342,5.725540080247426e-08
618,Keegan Lee,1,0.0,0.023969319271332695,3.2149203523262757e-19
10,Nick Johnson,9,0.02637704818912873,0.19332486849265373,4.9553524998658055e-06
204,Javier Arcenegui,1,0.0,0.020134228187919462,4.0995896401707277e-20
25,Daniel A. Nagy,1,0.0,0.0,2.2223919970860852e-39
170,Alberto Cuesta Cañada,2,0.00027208416470161435,0.12165000228279231,2.165234916191848e-07
126,Sean Papanikolas,1,0.0,0.0,2.2223919970860852e-39
7,Fabian Vogelsteller,4,0.12960167742046938,0.24003423269222107,2.6493570596492363e-05
181,pinkiebell,1,0.0,0.0,2.2223919970860852e-39
