START_DATE,Intra_day_vol,Date,Meeting
2016-09-08,0.10624008905182261,2016-09-08,0
2016-09-09,0.075752265953577,2016-09-09,0
2016-09-10,0.14937490525131955,2016-09-10,0
2016-09-11,0.12222499447888006,2016-09-11,0
2016-09-12,0.06820684652616281,2016-09-12,0
2016-09-13,0.05113211078787092,2016-09-13,0
2016-09-14,0.022550265913147138,2016-09-14,0
2016-09-15,0.04525091079233936,2016-09-15,0
2016-09-16,0.2958982884395398,2016-09-16,0
2016-09-17,0.11013496331741117,2016-09-17,0
2016-09-18,0.1421413615618855,2016-09-18,0
2016-09-19,0.10056657677198898,2016-09-19,0
2016-09-20,0.3686636167549505,2016-09-20,0
2016-09-21,0.5112458142700989,2016-09-21,0
2016-09-22,0.25042536277070815,2016-09-22,0
2016-09-23,0.08087833052076482,2016-09-23,0
2016-09-24,0.176548531735529,2016-09-24,0
2016-09-25,0.06671918221442992,2016-09-25,0
2016-09-26,0.053485403670506984,2016-09-26,0
2016-09-27,0.0885787539547376,2016-09-27,0
2016-09-28,0.08976620196094269,2016-09-28,0
2016-09-29,0.07324269761295758,2016-09-29,0
2016-09-30,0.09887409648902888,2016-09-30,0
2016-10-01,0.0330019762254111,2016-10-01,0
2016-10-02,0.022312016649251504,2016-10-02,0
2016-10-03,0.08507030340688279,2016-10-03,0
2016-10-04,0.08762465241097922,2016-10-04,0
2016-10-05,0.07827858092661107,2016-10-05,0
2016-10-06,0.13454970527060156,2016-10-06,0
2016-10-07,0.15694952110125426,2016-10-07,0
2016-10-08,0.18519036425930074,2016-10-08,0
2016-10-09,0.11966135792188815,2016-10-09,0
2016-10-10,0.09440795686191161,2016-10-10,0
2016-10-11,0.13209570531368126,2016-10-11,0
2016-10-12,0.09933747924428535,2016-10-12,0
2016-10-13,0.10173494974687887,2016-10-13,0
2016-10-14,0.0539709395771516,2016-10-14,0
2016-10-15,0.047882706932549306,2016-10-15,0
2016-10-16,0.0316113169975384,2016-10-16,0
2016-10-17,0.04200586570496079,2016-10-17,0
2016-10-18,0.21756891295416775,2016-10-18,0
2016-10-19,0.27829416976921406,2016-10-19,0
2016-10-20,0.06226259257999598,2016-10-20,0
2016-10-21,0.031274265940944596,2016-10-21,0
2016-10-22,0.04863350070994607,2016-10-22,0
2016-10-23,0.02872911970180385,2016-10-23,0
2016-10-24,0.026780779393579514,2016-10-24,0
2016-10-25,0.21825228056314672,2016-10-25,0
2016-10-26,0.06353704841853429,2016-10-26,0
2016-10-27,0.06272640153297007,2016-10-27,0
2016-10-28,0.17654442722048352,2016-10-28,0
2016-10-29,0.36975804858414324,2016-10-29,0
2016-10-30,0.33839775926897114,2016-10-30,0
2016-10-31,0.1526142954916272,2016-10-31,0
2016-11-01,0.1363280091799061,2016-11-01,0
2016-11-02,0.07689513846037759,2016-11-02,0
2016-11-03,0.06749664511254849,2016-11-03,0
2016-11-04,0.06062476654668984,2016-11-04,0
2016-11-05,0.051807894871482074,2016-11-05,0
2016-11-06,0.059539294052179385,2016-11-06,0
2016-11-07,0.03753259453027342,2016-11-07,0
2016-11-08,0.04580203147193924,2016-11-08,0
2016-11-09,0.10839741694339394,2016-11-09,0
2016-11-10,0.04889911234783142,2016-11-10,0
2016-11-11,0.07913939270844068,2016-11-11,0
2016-11-12,0.15248425910684144,2016-11-12,0
2016-11-13,0.09631526584494536,2016-11-13,0
2016-11-14,0.06754493941502732,2016-11-14,0
2016-11-15,0.14098000680536432,2016-11-15,0
2016-11-16,0.13274075747731845,2016-11-16,0
2016-11-17,0.06330853824321572,2016-11-17,0
2016-11-18,0.16707142879271927,2016-11-18,0
2016-11-19,0.06981211846132457,2016-11-19,0
2016-11-20,0.03847641852626994,2016-11-20,0
2016-11-21,0.03663124112130202,2016-11-21,0
2016-11-22,0.16024437858959445,2016-11-22,0
2016-11-23,0.04348704621385369,2016-11-23,0
2016-11-24,0.2508416990275236,2016-11-24,0
2016-11-25,0.13674728092572694,2016-11-25,0
2016-11-26,0.050983088983690084,2016-11-26,0
2016-11-27,0.18349219072748302,2016-11-27,0
2016-11-28,0.09370010749688429,2016-11-28,0
2016-11-29,0.2218482965151339,2016-11-29,0
2016-11-30,0.1547976706561812,2016-11-30,0
2016-12-01,0.0695455170903807,2016-12-01,0
2016-12-02,0.2582883317512438,2016-12-02,0
2016-12-03,0.10391956198098043,2016-12-03,0
2016-12-04,0.15119571729231052,2016-12-04,0
2016-12-05,0.26494154400382447,2016-12-05,0
2016-12-06,0.5062300273390645,2016-12-06,0
2016-12-07,0.3860612608141991,2016-12-07,0
2016-12-08,0.15370249354431179,2016-12-08,0
2016-12-09,0.16692823677222582,2016-12-09,0
2016-12-10,0.14264517141332275,2016-12-10,0
2016-12-11,0.03162277660168372,2016-12-11,0
2016-12-12,0.11767601678989695,2016-12-12,0
2016-12-13,0.046669901544195445,2016-12-13,0
2016-12-14,0.06882028686410807,2016-12-14,0
2016-12-15,0.1578656326469272,2016-12-15,0
2016-12-16,0.028662832571371765,2016-12-16,0
2016-12-17,0.1001701451082832,2016-12-17,0
2016-12-18,0.06225240813687898,2016-12-18,0
2016-12-19,0.06388253486571682,2016-12-19,0
2016-12-20,0.05266623096499279,2016-12-20,0
2016-12-21,0.07734615398474509,2016-12-21,0
2016-12-22,0.07335515156326505,2016-12-22,0
2016-12-23,0.17101519129063908,2016-12-23,0
2016-12-24,0.05695154309471814,2016-12-24,0
2016-12-25,0.03519871127416909,2016-12-25,0
2016-12-26,0.04249467144771549,2016-12-26,0
2016-12-27,0.06918652587259175,2016-12-27,0
2016-12-28,0.18495396998846145,2016-12-28,0
2016-12-29,0.20304877332263366,2016-12-29,0
2016-12-30,0.11877316707653829,2016-12-30,0
2016-12-31,0.04490731195102491,2016-12-31,0
2017-01-01,0.12472505995071768,2017-01-01,0
2017-01-02,0.11317230674724603,2017-01-02,0
2017-01-03,0.5858882455143507,2017-01-03,0
2017-01-04,0.36119944107360447,2017-01-04,0
2017-01-05,0.6798240128193452,2017-01-05,0
2017-01-06,0.17374341818416875,2017-01-06,0
2017-01-07,0.15494681181861528,2017-01-07,0
2017-01-08,0.1842724628904445,2017-01-08,0
2017-01-09,0.17406843148767595,2017-01-09,0
2017-01-10,0.11068217326318125,2017-01-10,0
2017-01-11,0.4081344531941138,2017-01-11,0
2017-01-12,0.2244268061180489,2017-01-12,0
2017-01-13,0.09329321083769074,2017-01-13,0
2017-01-14,0.05227955789706949,2017-01-14,0
2017-01-15,0.031930631334054375,2017-01-15,0
2017-01-16,0.06902530516863509,2017-01-16,0
2017-01-17,0.25964824310002105,2017-01-17,0
2017-01-18,0.09650317258432804,2017-01-18,0
2017-01-19,0.07884928753595373,2017-01-19,0
2017-01-20,0.08661090736946712,2017-01-20,0
2017-01-21,0.1513202765228661,2017-01-21,0
2017-01-22,0.1011805317242405,2017-01-22,0
2017-01-23,0.039210967853395215,2017-01-23,0
2017-01-24,0.045375029263158194,2017-01-24,0
2017-01-25,0.04707186919557387,2017-01-25,0
2017-01-26,0.0354985200752968,2017-01-26,0
2017-01-27,0.028628049486321926,2017-01-27,0
2017-01-28,0.022506037837221632,2017-01-28,0
2017-01-29,0.03717370116051175,2017-01-29,0
2017-01-30,0.06409769490982889,2017-01-30,0
2017-01-31,0.06035522863173125,2017-01-31,0
2017-02-01,0.07129114626818596,2017-02-01,0
