Number,Title,Author,Status
1276,Eliminate Difficulty Bomb and Adjust Block Reward on Constantinople Shift,EOS Classic,Stagnant
1285,Increase Gcallstipend gas in the CALL opcode,"Ben Kaufman, Adam Levi",Stagnant
1295,Modify Ethereum PoW Incentive Structure and Delay Difficulty Bomb,Brian Venturo,Stagnant
1319,Smart Contract Package Registry Interface,"Piper Merriam, Christopher Gewecke, g. nicholas d'andrea, Nick Gheorghita",Stagnant
1337,Subscriptions on the blockchain,"Kevin Owocki, Andrew Redden, Scott Burke, Kevin Seagraves, Luka Kacil, Štefan Šimec, Piotr Kosiński, ankit raj, John Griffin, Nathan Creswell",Stagnant
1352,Specify restricted address range for precompiles/system contracts,Alex Beregszaszi,Stagnant
1380,Reduced gas cost for call to self,"Alex Beregszaszi, Jacques Wagener",Stagnant
1386,Attestation management contract,"Weiwu Zhang, James Sangalli",Stagnant
1387,Merkle Tree Attestations with Privacy enabled,"Weiwu Zhang, James Sangalli",Stagnant
1388,Attestation Issuers Management List,"Weiwu Zhang, James Sangalli",Stagnant
1417,Poll Standard,"Chaitanya Potti, Partha Bhattacharya",Stagnant
1438,dApp Components (avatar) & Universal Wallet,Jet Lim,Stagnant
1444,Localized Messaging with Signal-to-Text,"Brooklyn Zelenka, Jennifer Cooper",Stagnant
1450,ERC-1450 A compatible security token for issuing and trading SEC-compliant securities,"John Shiple, Howard Marks, David Zhang",Stagnant
1459,Node Discovery via DNS,"Felix Lange, Péter Szilágyi",Stagnant
1462,Base Security Token,"Maxim Kupriianov, Julian Svirsky",Stagnant
1470,Smart Contract Weakness Classification (SWC),Gerhard Wagner,Stagnant
1474,Remote procedure call specification,"Paul Bouchon, Erik Marks",Stagnant
1482,Define a maximum block timestamp drift,Maurelian,Stagnant
1484,Digital Identity Aggregator,"Anurag Angara, Andy Chorlian, Shane Hampton, Noah Zinsmeister",Stagnant
1485,TEthashV1,"trustfarm, trustfarm",Stagnant
1491,Human Cost Accounting Standard (Like Gas but for humans),Iamnot Chris,Stagnant
1504,Upgradable Smart Contract,"Kaidong Wu, Chuqiao Ren, Ruthia He, Yun Ma, Xuanzhe Liu",Stagnant
1523,Standard for Insurance Policies as ERC-721 Non Fungible Tokens,Christoph Mussenbrock,Stagnant
1571,EthereumStratum/2.0.0,"Andrea Lanfranchi, Pawel Bylica, Marius Van Der Wijden",Stagnant
1577,contenthash field for ENS,"Dean Eigenmann, Nick Johnson",Stagnant
1581,Non-wallet usage of keys derived from BIP-32 trees,Michele Balistreri,Stagnant
1588,Hardfork Meta: Ethereum ProgPoW,Ikmyeong Na,Stagnant
1592,Address and ERC20-compliant transfer rules,"Cyril Lapinte, Laurent Aapro",Stagnant
1613,Gas stations network,"Yoav Weiss, Dror Tirosh, Alex Forshtat",Stagnant
1616,Attribute Registry Standard,"0age, Santiago Palladino, Leo Arias, Alejo Salles, Stephane Gosselin",Stagnant
1620,Money Streaming,Paul Berg,Stagnant
1633,Re-Fungible Token Standard (RFT),"Billy Rennekamp, Dan Long, Kiryl Yermakou, Nate van der Ende",Stagnant
