Number,Title,Author,Status
5050,Interactive NFTs with Modular Environments,Alexi,Draft
5604,NFT Lien,"Allen Zhou, Alex Qin, Zainan Victor Zhou",Draft
5008,EIP-721 Nonce Extension,"Anders, Lance, Shrug",Review
5007,"Time NFT, EIP-721 Time Extension","Anders, Lance, Shrug",Last Call
4907,"Rental NFT, an Extension of EIP-721","Anders, Lance, Shrug",Final
4906,EIP-721 Metadata Update Extension,"Anders, Lance, Shrug, Nathan",Final
1010,Uniformity Between 0xAb5801a7D398351b8bE11C439e05C5B3259aeC9B and 0x15E55EF43efA8348dDaeAa455F16C43B64917e3c,Anderson Wesley,Stagnant
1571,EthereumStratum/2.0.0,"Andrea Lanfranchi, Pawel Bylica, Marius Van Der Wijden",Stagnant
4910,Royalty Bearing NFTs,Andreas Freund,Review
4750,EOF - Functions,"Andrei Maiboroda, Alex Beregszaszi, Paweł Bylica",Review
5450,EOF - Stack Validation,"Andrei Maiboroda, Paweł Bylica, Alex Beregszaszi",Review
4883,Composable SVG NFT,"Andrew B Coathup, Alex, Damian Martinelli, blockdev, Austin Griffith",Draft
4396,Time-Aware Base Fee Calculation,Ansgar Dietrichs,Stagnant
3978,Gas refunds on reverts,"Anton Bukov, Mikhail Melnik",Stagnant
5564,Stealth Address Wallets,Anton Wahrstätter,Draft
1108,Reduce alt_bn128 precompile gas costs,"Antonio Salazar Cardozo, Zachary Williamson",Final
1484,Digital Identity Aggregator,"Anurag Angara, Andy Chorlian, Shane Hampton, Noah Zinsmeister",Stagnant
5725,Transferable Vesting NFT,"Apeguru, Marco De Vries, Mario, DeFiFoFum",Draft
3722,Poster,Auryn Macmillan,Stagnant
5005,Zodiac Modular Accounts,"Auryn Macmillan, Kei Kreutler",Review
5727,Semi-Fungible Soulbound Token,"Austin Zhu, Terry Chen",Draft
2494,Baby Jubjub Elliptic Curve,"Barry WhiteHat, Marta Bellés, Jordi Baylina",Stagnant
