author_id,mod_name,Full_Name,GitHub_Username,URL,GitHub_Followers,gh_matched_names,EIP_Num1,EIP_Num2,Status,tw_matched_names,extra_in_twitter,extra_in_gh,co_matched_names,extra_in_co
40,,Weiwu Zhang,,,,,,,,Weiwu Zhang,"",Bondy,Weiwu Zhang,""
41,,Dave Sag,,,,,,,,Dave Sag,"",Weiji Guo,Dave Sag,""
42,jorgeizquierdo,Jorge Izquierdo,izqui,https://github.com/izqui,649,Jorge Izquierdo,,,Correct,Jorge Izquierdo,"",Leeren,Jorge Izquierdo,""
43,,Dean Eigenmann,,,,,,,,Dean Eigenmann,"",Junyi Zhong,Dean Eigenmann,""
44,brooklynzelenka,Brooklyn Zelenka,expede,https://github.com/expede,772,Brooklyn Zelenka,,,Correct,Brooklyn Zelenka,"",Erhard Dinhobl,Brooklyn Zelenka,""
45,jamesray,James Ray,jamesray1,https://github.com/jamesray1,140,James Ray,,,Correct,James Ray,"",Kevin Riedl,"",""
46,,Jay Logelin,,,,,,,,Jay Logelin,"",Simon Brown,Jay Logelin,""
47,,David Stanfill,,,,,,,,David Stanfill,"",Base Labs,"",""
48,,Matt Lockyer,,,,,,,,Matt Lockyer,"",Christian Fries,Matt Lockyer,""
49,andersonwesley,Anderson Wesley,andywesley,https://github.com/andywesley,2,Anderson Wesley,,,Correct,Anderson Wesley,"",Landgraf,"",""
50,dannyryan,Danny Ryan,djrtwo,https://github.com/djrtwo,585,Danny Ryan,,,Correct,Danny Ryan,"",Alexandros Korpis,Danny Ryan,""
51,nicksavers,Nick Savers,nicksavers,https://github.com/nicksavers,51,Nick Savers,,,Correct,Nick Savers,"",Sujith Somraaj,"",""
52,tommynicholas,Tommy Nicholas,tomasienrbc,https://github.com/tomasienrbc,6,Tommy Nicholas,,,Correct,Tommy Nicholas,"",Artem Chystiakov,Tommy Nicholas,""
53,pellebraendgaard,Pelle Braendgaard,pelle,https://github.com/pelle,263,Pelle Braendgaard,,,Correct,Pelle Braendgaard,"",Yuki Aoki,Pelle Braendgaard,""
54,,Phyrex Tsai,,,,,,,,Phyrex Tsai,"",George,Phyrex Tsai,""
