Names_to_Keep,Names_to_Replace
Andy Chorlian,Andy
Elad Nachmias,Elad
Eli Ben Sasson,Eli
HexZorro,hexzorro
HP,hp
Ilan Gitter,Ilan
Joey Liu,Joey
Junseok Lee,Jun
Kai Yeung,KAI
Nikola Madjarevic,Nikola
Pawel Bylica,Pawel Byilca
Diederik Loerakker,protolambda
RJ Catalano,RJ
Weiwu Zhang,Weiwu
Zahary Karadjov,zah
