,author_id,Full_Name,GitHub_Username,URL,GitHub_Followers
138,139,Kelly Olson,ineffectualproperty,https://github.com/ineffectualproperty,7.0
139,140,Joseph Stockermans,jstoxrocky,https://github.com/jstoxrocky,35.0
140,141,Hua Zhang,dgczhh,https://github.com/dgczhh,1.0
141,142,Guillaume Ballet,gballet,https://github.com/gballet,325.0
144,145,Matt Garnett,lightclient,https://github.com/lightclient,497.0
145,146,Aaron Kendall,jaerith,https://github.com/jaerith,19.0
146,147,Soham Zemse,zemse,https://github.com/zemse,210.0
147,148,Joel Thorstensson,oed,https://github.com/oed,210.0
148,149,Giuseppe Bertone,Neurone,https://github.com/Neurone,65.0
149,150,Jonathan Underwood,junderw,https://github.com/junderw,287.0
151,152,Sina Mahmoodi,s1na,https://github.com/s1na,147.0
152,153,William Morriss,wjmelements,https://github.com/wjmelements,93.0
153,154,Nick Gheorghita,njgheorghita,https://github.com/njgheorghita,50.0
155,156,Zach Burks,vexycats,https://github.com/vexycats,31.0
156,157,Sergio Demian Lerner,SergioDemianLerner,https://github.com/SergioDemianLerner,85.0
157,158,Matt,defifuture,https://github.com/defifuture,2.0
158,159,Peter Jihoon Kim,petejkim,https://github.com/petejkim,518.0
159,160,Peter Grassberger,PeterTheOne,https://github.com/PeterTheOne,143.0
160,161,Youssef El Housni,yelhousni,https://github.com/yelhousni,90.0
161,162,Herman Junge,hermanjunge,https://github.com/hermanjunge,1.0
162,163,Abdelhamid Bakhta,abdelhamidbakhta,https://github.com/abdelhamidbakhta,324.0
164,165,Sam Wilson,SamWilsn,https://github.com/SamWilsn,203.0
165,166,Michael Sproul,michaelsproul,https://github.com/michaelsproul,261.0
166,167,Erik Marks,rekmarks,https://github.com/rekmarks,312.0
167,168,Zhenyu Sun,Ungigdu,https://github.com/Ungigdu,12.0
168,169,Ben Tinner,Terra854,https://github.com/Terra854,3.0
169,170,Alberto Cuesta Cañada,alcueca,https://github.com/alcueca,374.0
171,172,Victor Porton,vporton,https://github.com/vporton,51.0
172,173,Justice Hudson,jchancehud,https://github.com/jchancehud,1.0
174,175,mineruniter969,mineruniter969,https://github.com/mineruniter969,1.0
72,176,Query0x,Query0x,https://github.com/Query0x,1.0
176,177,Philippe Castonguay,PhABC,https://github.com/PhABC,275.0
177,178,Calvin Koder,ashrowz,https://github.com/ashrowz,5.0
178,179,HexZorro,hexzorro,https://github.com/hexzorro,2.0
179,180,Nathan Ginnever,nginnever,https://github.com/nginnever,124.0
180,181,pinkiebell,pinkiebell,https://github.com/pinkiebell,44.0
181,182,Daniel Streit,danielstreit,https://github.com/danielstreit,18.0
182,183,Yu Liu,yuliu-debond,https://github.com/yuliu-debond,16.0
183,184,Alex Papageorgiou,alex-ppg,https://github.com/alex-ppg,86.0
184,185,Will Wang,will42w,https://github.com/will42w,17.0
185,186,Sam Porter,SamPorter1984,https://github.com/SamPorter1984,5.0
187,188,Dankrad Feist,dankrad,https://github.com/dankrad,179.0
188,189,Joachim Lebrun,Joachim-Lebrun,https://github.com/Joachim-Lebrun,6.0
189,190,Mikhail Kalinin,mkalinin,https://github.com/mkalinin,139.0
190,191,Auryn Macmillan,auryn-macmillan,https://github.com/auryn-macmillan,75.0
191,192,Simon Tian,simontianx,https://github.com/simontianx,14.0
192,193,lightclient,lightclient,https://github.com/lightclient,497.0
193,194,Lukas Schor,lukasschor,https://github.com/lukasschor,17.0
194,195,Anton Bukov,k06a,https://github.com/k06a,760.0
195,196,Tim Beiko,timbeiko,https://github.com/timbeiko,419.0
196,197,Rex Creed,aug2uag,https://github.com/aug2uag,52.0
197,198,Wayne Chang,wyc,https://github.com/wyc,121.0
198,199,Jules Lai,julesl23,https://github.com/julesl23,5.0
199,200,Ansgar Dietrichs,adietrichs,https://github.com/adietrichs,63.0
200,201,Daniel Ivanov,Daniel-K-Ivanov,https://github.com/Daniel-K-Ivanov,38.0
201,202,George Kadianakis,asn-d6,https://github.com/asn-d6,190.0
202,203,Simon Fremaux,dievardump,https://github.com/dievardump,63.0
203,204,Javier Arcenegui,Hardblock-IMSE-CNM,https://github.com/Hardblock-IMSE-CNM,3.0
205,206,Ross Campbell,z0r0z,https://github.com/z0r0z,346.0
206,207,William Schwab,wschwab,https://github.com/wschwab,84.0
207,208,Aaron Chen,aaronisme,https://github.com/aaronisme,89.0
208,209,Joey Santoro,joeysantoro,https://github.com/joeysantoro,206.0
209,210,Omar Aflak,omaraflak,https://github.com/omaraflak,222.0
210,211,David Kim,powerstream3604,https://github.com/powerstream3604,9.0
211,212,Benjamin Chodroff,benjaminchodroff,https://github.com/benjaminchodroff,35.0
212,213,Peter Davies,petertdavies,https://github.com/petertdavies,28.0
213,214,Andrei Maiboroda,gumb0,https://github.com/gumb0,324.0
214,215,Alex Stokes,ralexstokes,https://github.com/ralexstokes,415.0
215,216,David Buckman,davidbuckman,https://github.com/davidbuckman,2.0
216,217,qizhou,qizhou,https://github.com/qizhou,57.0
217,218,Joshua Tan,thelastjosh,https://github.com/thelastjosh,35.0
218,219,Pandapip1,Pandapip1,https://github.com/Pandapip1,317.0
219,220,Mark Mackey,ethDreamer,https://github.com/ethDreamer,18.0
220,221,Andrew B Coathup,abcoathup,https://github.com/abcoathup,167.0
221,222,Omnus Sunmo,omnus,https://github.com/omnus,1.0
222,223,Anders,0xanders,https://github.com/0xanders,22.0
223,224,Andreas Freund,Therecanbeonlyone1969,https://github.com/Therecanbeonlyone1969,27.0
60,225,John Peterson,John-peterson-coinbase,https://github.com/John-peterson-coinbase,1.0
225,226,Marius Van Der Wijden,MariusVanDerWijden,https://github.com/MariusVanDerWijden,278.0
226,227,Víctor Muñoz,victormunoz,https://github.com/victormunoz,7.0
227,228,Ignacio Mazzara,nachomazzara,https://github.com/nachomazzara,82.0
228,229,Shu Dong,dongshu2013,https://github.com/dongshu2013,21.0
229,230,Tim Daubenschütz,TimDaub,https://github.com/TimDaub,328.0
230,231,Daniel Tedesco,dtedesco1,https://github.com/dtedesco1,28.0
231,232,Devin Conley,devinaconley,https://github.com/devinaconley,20.0
232,233,Harikrishnan Mulackal,hrkrshnn,https://github.com/hrkrshnn,370.0
233,234,Lance,LanceSnow,https://github.com/LanceSnow,15.0
234,235,Green,greenlucid,https://github.com/greenlucid,25.0
235,236,Jarno Marttila,yaruno,https://github.com/yaruno,2.0
236,237,Alexi,alexi,https://github.com/alexi,16.0
237,238,Tyler,radiocaca,https://github.com/radiocaca,53.0
238,239,Mudit Gupta,maxsam4,https://github.com/maxsam4,679.0
239,240,Luc van Kampen,lucemans,https://github.com/lucemans,191.0
240,241,Julian Traversa,JTraversa,https://github.com/JTraversa,28.0
241,242,Vu Nguyen,mrenoon,https://github.com/mrenoon,15.0
242,243,Wilkins Chung,wwhchung,https://github.com/wwhchung,31.0
243,244,Tomasz Kajetan Stanczak,tkstanczak,https://github.com/tkstanczak,100.0
244,245,Brendan Asselstine,asselstine,https://github.com/asselstine,96.0
245,246,James,JamesSmartCell,https://github.com/JamesSmartCell,35.0
246,247,Yale ReiSoleil,longnshort,https://github.com/longnshort,2.0
247,248,Christophe Le Bars,clbrge,https://github.com/clbrge,13.0
248,249,DerivStudio,DerivStudio,https://github.com/DerivStudio,2.0
249,250,Agustín Aguilar,agusx1211,https://github.com/agusx1211,108.0
250,251,Iván Mañús,ivanmmurciaua,https://github.com/ivanmmurciaua,19.0
251,252,James Grimmelmann,grimmelm,https://github.com/grimmelm,3.0
252,253,Hyungsuk Kang,hskang9,https://github.com/hskang9,106.0
253,254,Lerner,SergioDemianLerner,https://github.com/SergioDemianLerner,85.0
255,256,Stanley Wu,fruit37,https://github.com/fruit37,11.0
256,257,Samuele Marro,samuelemarro,https://github.com/samuelemarro,19.0
257,258,Zainan Zhou,xinbenlv,https://github.com/xinbenlv,137.0
258,259,Buzz Cai,buzzcai,https://github.com/buzzcai,4.0
259,260,IronMan_CH,coderfengyun,https://github.com/coderfengyun,15.0
260,261,Jeremy Z,wnft,https://github.com/wnft,1.0
261,262,Jan Smrža,smrza,https://github.com/smrza,2.0
262,263,liszechung,liszechung,https://github.com/liszechung,4.0
263,264,elie222,elie222,https://github.com/elie222,86.0
264,265,Lucas Martín Grasso Ramos,LucasGrasso,https://github.com/LucasGrasso,6.0
265,266,Saber Yu,OniReimu,https://github.com/OniReimu,6.0
266,267,StartfundInc,StartfundInc,https://github.com/StartfundInc,2.0
267,268,Philipp Bolte,strumswell,https://github.com/strumswell,22.0
268,269,Roy Osherove,royosherove,https://github.com/royosherove,280.0
269,270,Isaac Patka,ipatka,https://github.com/ipatka,45.0
270,271,Paul Gauvreau,0xpaulio,https://github.com/0xpaulio,4.0
271,272,Olivier Fernandez,fernandezOli,https://github.com/fernandezOli,1.0
272,273,Toni Wahrstätter,nerolation,https://github.com/nerolation,91.0
273,274,Sean Darcy,darcys22,https://github.com/darcys22,61.0
274,275,Oliver Terbu,awoie,https://github.com/awoie,34.0
275,276,Veega Labs,VeegaLabsOfficial,https://github.com/VeegaLabsOfficial,0.0
276,277,Yan Zhu,diracdeltas,https://github.com/diracdeltas,3300.0
278,279,Gaurang Torvekar,gaurangtorvekar,https://github.com/gaurangtorvekar,22.0
279,280,Gavin Fu,gavfu,https://github.com/gavfu,16.0
280,281,Firn Protocol,firnprotocol,https://github.com/firnprotocol,14.0
281,282,HonorLabs,honorworldio,https://github.com/honorworldio,2.0
282,283,Timi,0xTimi,https://github.com/0xTimi,1.0
283,284,foobar,0xfoobar,https://github.com/0xfoobar,296.0
284,285,cygaar,cygaar,https://github.com/cygaar,235.0
285,286,Naim Ashhab,ashhanai,https://github.com/ashhanai,11.0
286,287,Apeguru,Apegurus,https://github.com/Apegurus,17.0
287,288,Austin Zhu,AustinZhu,https://github.com/AustinZhu,38.0
288,289,Cozy Finance,cozyfinance,https://github.com/cozyfinance,0.0
289,290,Kosala Hemachandra,kvhnuke,https://github.com/kvhnuke,403.0
290,291,Filipp Makarov,filmakarov,https://github.com/filmakarov,5.0
291,292,Bruno Škvorc,Swader,https://github.com/Swader,743.0
292,293,2pmflow,2pmflow,https://github.com/2pmflow,30.0
293,294,Moody Salem,moodysalem,https://github.com/moodysalem,1100.0
294,295,zlace,zlace0x,https://github.com/zlace0x,3.0
295,296,Paul Edge,genkifs,https://github.com/genkifs,1.0
296,297,Ernesto García,ernestognw,https://github.com/ernestognw,359.0
298,299,Matt Luongo,mhluongo,https://github.com/mhluongo,179.0
299,300,Tim Coulter,tcoulter,https://github.com/tcoulter,274.0
300,301,Leonid Logvinov,LogvinovLeon,https://github.com/LogvinovLeon,199.0
302,303,Tyler Yasaka,tyleryasaka,https://github.com/tyleryasaka,57.0
303,304,Esteban Mino,estebanmino,https://github.com/estebanmino,92.0
307,308,Tom Carchrae,carchrae,https://github.com/carchrae,17.0
309,310,Cheng Liang,ChihChengLiang,https://github.com/ChihChengLiang,262.0
310,311,Matt Russo,mateosu,https://github.com/mateosu,1.0
313,314,Zachary Williamson,zac-williamson,https://github.com/zac-williamson,71.0
317,318,Ryan Ghods,ryanio,https://github.com/ryanio,175.0
318,319,Evan,evbots,https://github.com/evbots,38.0
320,321,Bicong Wang,Wangbicong,https://github.com/Wangbicong,0.0
321,322,Partha Bhattacharya,pb25193,https://github.com/pb25193,1.0
322,323,Matt Condon,shrugs,https://github.com/shrugs,1200.0
326,327,Bryant Eisenbach,fubuloubu,https://github.com/fubuloubu,569.0
328,329,Jacques Wagener,jacqueswww,https://github.com/jacqueswww,111.0
329,330,Jennifer Cooper,jenncoop,https://github.com/jenncoop,47.0
335,336,Dror Tirosh,drortirosh,https://github.com/drortirosh,100.0
337,338,Kai Yeung,CivicKai,https://github.com/CivicKai,1.0
338,339,Raúl Kripalani,raulk,https://github.com/raulk,402.0
340,341,Christian Tzurcanu,ctzurcanu,https://github.com/ctzurcanu,11.0
341,342,Zachary Belford,belfordz,https://github.com/belfordz,80.0
345,346,Eli Ben Sasson,Elistark,https://github.com/Elistark,14.0
347,348,Eric Dvorsak,yenda,https://github.com/yenda,50.0
349,350,Marta Bellés,bellesmarta,https://github.com/bellesmarta,18.0
350,351,Sean Gulley,sean-sn,https://github.com/sean-sn,14.0
351,352,Yuefei Tan,whtyfhas,https://github.com/whtyfhas,2.0
353,354,Juan Blanco,juanfranblanco,https://github.com/juanfranblanco,527.0
354,355,Liraz Siri,lirazsiri,https://github.com/lirazsiri,62.0
357,358,Martin Swende,holiman,https://github.com/holiman,793.0
358,359,Tomasz Stanczak,tkstanczak,https://github.com/tkstanczak,100.0
360,361,James Morgan,jamesmorgan,https://github.com/jamesmorgan,173.0
361,362,Fabien Marino,bonustrack,https://github.com/bonustrack,372.0
362,363,Kevin Britz,kbrizzle,https://github.com/kbrizzle,19.0
364,365,Fiona Kobayashi,fifikobayashi,https://github.com/fifikobayashi,575.0
365,366,Peter Robinson,drinkcoffee,https://github.com/drinkcoffee,55.0
366,367,Mojtaba Tefagh,mtefagh,https://github.com/mtefagh,49.0
367,368,Varun Deshpande,dr-chain,https://github.com/dr-chain,6.0
369,370,Xinqi Yang,xinqiyang,https://github.com/xinqiyang,93.0
370,371,Dmitry Khovratovich,khovratovich,https://github.com/khovratovich,187.0
371,372,Tony Malghem,TonyMalghem,https://github.com/TonyMalghem,2.0
372,373,Hugo De la cruz,hugo-dc,https://github.com/hugo-dc,206.0
373,374,Mikhail Melnik,ZumZoom,https://github.com/ZumZoom,168.0
375,376,Gregory Rocco,obstropolos,https://github.com/obstropolos,34.0
376,377,George Spasov,Perseverance,https://github.com/Perseverance,40.0
378,379,Mihir Faujdar,uink45,https://github.com/uink45,3.0
379,380,Sora Lee,soralit,https://github.com/soralit,9.0
380,381,t11s,transmissions11,https://github.com/transmissions11,3100.0
382,383,Isaac Buckman,isaacbuckman,https://github.com/isaacbuckman,1.0
383,384,Chao Pi,pichaoqkc,https://github.com/pichaoqkc,1.0
385,386,Roberto Bayardo,roberto-bayardo,https://github.com/roberto-bayardo,25.0
389,390,Martin Moravek,mmartinmo,https://github.com/mmartinmo,3.0
390,391,Jakob Helgesson,svemat01,https://github.com/svemat01,23.0
391,392,Robert Robbins,robrobbins,https://github.com/robrobbins,55.0
392,393,Long Vuong,UncleGrandpa925,https://github.com/UncleGrandpa925,38.0
393,394,Jalil Wahdatehagh,jwahdatehagh,https://github.com/jwahdatehagh,65.0
394,395,Eric Marti Haynes,ericmartihaynes,https://github.com/ericmartihaynes,5.0
395,396,Pierrick Turelier,PierrickGT,https://github.com/PierrickGT,77.0
396,397,Weiwu,weiwu-zhang,https://github.com/weiwu-zhang,31.0
397,398,dRadiant,dRadiant,https://github.com/dRadiant,5.0
398,399,Edward Amor,skellet0r,https://github.com/skellet0r,182.0
399,400,Juan Carlos Cantó,EscuelaCryptoES,https://github.com/EscuelaCryptoES,17.0
400,401,Yan Ji,iseriohn,https://github.com/iseriohn,16.0
401,402,Viktor Pernjek,smuxx,https://github.com/smuxx,3.0
402,403,Mücahit Büyükyılmaz,anndro,https://github.com/anndro,38.0
403,404,Luca Donno,lucadonnoh,https://github.com/lucadonnoh,67.0
404,405,David Rábel,rabeles11,https://github.com/rabeles11,1.0
405,406,Matias Arazi,MatiArazi,https://github.com/MatiArazi,2.0
407,408,Lauritz Leifermann,lleifermann,https://github.com/lleifermann,25.0
409,410,Frédéric Le Coidic,FredLC29,https://github.com/FredLC29,1.0
410,411,Jacob Ward,cobward,https://github.com/cobward,2.0
412,413,Bondy,bbondy,https://github.com/bbondy,853.0
414,415,Khemraj Adhawade,akhemraj,https://github.com/akhemraj,1.0
416,417,0xTriple7,ysqi,https://github.com/ysqi,174.0
417,418,Paul Dworzanski,poemm,https://github.com/poemm,14.0
420,421,Matt Stam,mattstam,https://github.com/mattstam,22.0
421,422,Tony Sheng,tonysheng,https://github.com/tonysheng,6.0
423,424,Cicada,CicadaNCR,https://github.com/CicadaNCR,7.0
424,425,locationtba,locationtba,https://github.com/locationtba,23.0
425,426,zhongfu,zhongfu,https://github.com/zhongfu,38.0
426,427,Piotr Dyraga,pdyraga,https://github.com/pdyraga,48.0
427,428,Denis Erfurt,mhhf,https://github.com/mhhf,67.0
428,429,Fan Torchz,tcz001,https://github.com/tcz001,117.0
429,430,Jacob Evans,dekz,https://github.com/dekz,258.0
432,433,Gleb Naumenko,naumenkogs,https://github.com/naumenkogs,258.0
435,436,John Zettler,JohnZettler,https://github.com/JohnZettler,6.0
436,437,Michael Carter,bitsbetrippin,https://github.com/bitsbetrippin,31.0
437,438,Joe Messerman,JAMesserman,https://github.com/JAMesserman,3.0
