eip_number,Title,Author,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,author1_id,author2_id,author3_id,author4_id,author5_id,author6_id,author7_id,author8_id,author9_id,author10_id,author11_id,author12_id,author13_id,author14_id,author15_id
4736,Consensus Layer Withdrawal Protection,"Benjamin Chodroff (@benjaminchodroff), Jim McDonald (@mcdee)",Benjamin Chodroff,Jim McDonald,,,,,,,,,,,,,,212,68.0,,,,,,,,,,,,,
4804,Web3 URL to EVM Call Message Translation,"Qi Zhou (@qizhou), Chao Pi (@pichaoqkc), Sam Wilson (@SamWilsn)",Qi Zhou,Chao Pi,Sam Wilson,,,,,,,,,,,,,685,384.0,165.0,,,,,,,,,,,,
4834,Hierarchical Domains,Gavin John (@Pandapip1),Gavin John,,,,,,,,,,,,,,,661,,,,,,,,,,,,,,
4895,Beacon chain push withdrawals as operations,"Alex Stokes (@ralexstokes), Danny Ryan (@djrtwo)",Alex Stokes,Danny Ryan,,,,,,,,,,,,,,215,50.0,,,,,,,,,,,,,
4906,EIP-721 Metadata Update Extension,"Anders (@0xanders), Lance (@LanceSnow), Shrug <[email protected]>, Nathan <[email protected]>",Anders,Lance,Shrug,Nathan,,,,,,,,,,,,223,234.0,475.0,534.0,,,,,,,,,,,
4907,"Rental NFT, an Extension of EIP-721","Anders (@0xanders), Lance (@LanceSnow), Shrug <[email protected]>",Anders,Lance,Shrug,,,,,,,,,,,,,223,234.0,475.0,,,,,,,,,,,,
4955,Vendor Metadata Extension for NFTs,Ignacio Mazzara (@nachomazzara),Ignacio Mazzara,,,,,,,,,,,,,,,228,,,,,,,,,,,,,,
5006,"Rental NFT, NFT User Extension","Lance (@LanceSnow), Anders (@0xanders), Shrug <[email protected]>",Lance,Anders,Shrug,,,,,,,,,,,,,234,223.0,475.0,,,,,,,,,,,,
5007,"Time NFT, ERC-721 Time Extension","Anders (@0xanders), Lance (@LanceSnow), Shrug <[email protected]>",Anders,Lance,Shrug,,,,,,,,,,,,,223,234.0,475.0,,,,,,,,,,,,
5023,Shareable Non-Fungible Token,"Jarno Marttila (@yaruno), Martin Moravek (@mmartinmo)",Jarno Marttila,Martin Moravek,,,,,,,,,,,,,,236,390.0,,,,,,,,,,,,,
5133,Delaying Difficulty Bomb to mid-September 2022,"Tomasz Kajetan Stanczak (@tkstanczak), Eric Marti Haynes (@ericmartihaynes), Josh Klopfenstein (@joshklop), Abhimanyu Nag (@AbhiMan1601)",Tomasz Kajetan Stanczak,Eric Marti Haynes,Josh Klopfenstein,Abhimanyu Nag,,,,,,,,,,,,244,395.0,484.0,536.0,,,,,,,,,,,
5169,Client Script URI for Token Contracts,"James (@JamesSmartCell), Weiwu (@weiwu-zhang)",James,Weiwu,,,,,,,,,,,,,,246,397.0,,,,,,,,,,,,,
5192,Minimal Soulbound NFTs,"Tim Daubenschütz (@TimDaub), Anders (@0xanders)",Tim Daubenschütz,Anders,,,,,,,,,,,,,,230,223.0,,,,,,,,,,,,,
5219,Contract Resource Requests,Gavin John (@Pandapip1),Gavin John,,,,,,,,,,,,,,,661,,,,,,,,,,,,,,
5267,Retrieval of EIP-712 domain,Francisco Giordano (@frangio),Francisco Giordano,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,
5313,Light Contract Ownership,William Entriken (@fulldecent),William Entriken,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,
5375,NFT Author Information and Consent,"Samuele Marro (@samuelemarro), Luca Donno (@lucadonnoh)",Samuele Marro,Luca Donno,,,,,,,,,,,,,,257,404.0,,,,,,,,,,,,,
5380,ERC-721 Entitlement Extension,"Gavin John (@Pandapip1), Tim Daubenschütz (@TimDaub)",Gavin John,Tim Daubenschütz,,,,,,,,,,,,,,661,230.0,,,,,,,,,,,,,
5484,Consensual Soulbound Tokens,Buzz Cai (@buzzcai),Buzz Cai,,,,,,,,,,,,,,,259,,,,,,,,,,,,,,
5489,NFT Hyperlink Extension,IronMan_CH (@coderfengyun),IronMan_CH,,,,,,,,,,,,,,,260,,,,,,,,,,,,,,
5507,Refundable Tokens,"elie222 (@elie222), Gavin John (@Pandapip1)",elie222,Gavin John,,,,,,,,,,,,,,264,661.0,,,,,,,,,,,,,
5528,Refundable Fungible Token,StartfundInc (@StartfundInc),StartfundInc,,,,,,,,,,,,,,,267,,,,,,,,,,,,,,
5570,Digital Receipt Non-Fungible Tokens,Sean Darcy (@darcys22),Sean Darcy,,,,,,,,,,,,,,,274,,,,,,,,,,,,,,
5606,Multiverse NFTs,"Gaurang Torvekar (@gaurangtorvekar), Khemraj Adhawade (@akhemraj), Nikhil Asrani (@nikhilasrani)",Gaurang Torvekar,Khemraj Adhawade,Nikhil Asrani,,,,,,,,,,,,,279,415.0,495.0,,,,,,,,,,,,
5615,ERC-1155 Supply Extension,Gavin John (@Pandapip1),Gavin John,,,,,,,,,,,,,,,661,,,,,,,,,,,,,,
5646,Token State Fingerprint,Naim Ashhab (@ashhanai),Naim Ashhab,,,,,,,,,,,,,,,286,,,,,,,,,,,,,,
5679,Token Minting and Burning,Zainan Victor Zhou (@xinbenlv),Zainan Victor Zhou,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,
5732,Commit Interface,"Zainan Victor Zhou (@xinbenlv), Matt Stam (@mattstam)",Zainan Victor Zhou,Matt Stam,,,,,,,,,,,,,,71,421.0,,,,,,,,,,,,,
5749,The 'window.evmproviders' object,Kosala Hemachandra (@kvhnuke),Kosala Hemachandra,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,
5750,General Extensibility for Method Behaviors,Zainan Victor Zhou (@xinbenlv),Zainan Victor Zhou,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,
5757,Process for Approving External Resources,Sam Wilson (@SamWilsn),Sam Wilson,,,,,,,,,,,,,,,165,,,,,,,,,,,,,,
5773,Context-Dependent Multi-Asset Tokens,"Bruno kvorc (@Swader), Cicada (@CicadaNCR), Steven Pineda (@steven2308), Stevan Bogosavljevic (@stevyhacker), Jan Turk (@ThunderDeliverer)",Bruno kvorc,Cicada,Steven Pineda,Stevan Bogosavljevic,Jan Turk,,,,,,,,,,,292,424.0,500.0,546.0,60.0,,,,,,,,,,
6049,Deprecate SELFDESTRUCT,William Entriken (@fulldecent),William Entriken,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,
6059,Parent-Governed Nestable Non-Fungible Tokens,"Bruno kvorc (@Swader), Cicada (@CicadaNCR), Steven Pineda (@steven2308), Stevan Bogosavljevic (@stevyhacker), Jan Turk (@ThunderDeliverer)",Bruno kvorc,Cicada,Steven Pineda,Stevan Bogosavljevic,Jan Turk,,,,,,,,,,,292,424.0,500.0,546.0,60.0,,,,,,,,,,
6105,No Intermediary NFT Trading Protocol,"5660-eth (@5660-eth), Silvere Heraudeau (@lambdalf-dev), Martin McConnell (@offgridgecko), Abu <[email protected]>, Wizard Wang",5660-eth,Silvere Heraudeau,Martin McConnell,Abu,Wizard Wang,,,,,,,,,,,633,595.0,611.0,666.0,667.0,,,,,,,,,,
6147,"Guard of NFT/SBT, an Extension of ERC-721","5660-eth (@5660-eth), Wizard Wang",5660-eth,Wizard Wang,,,,,,,,,,,,,,633,667.0,,,,,,,,,,,,,
6150,Hierarchical NFTs,"Keegan Lee (@keeganlee), msfew <[email protected]>, Kartin <[email protected]>, qizhou (@qizhou)",Keegan Lee,msfew,Kartin,Qi Zhou,,,,,,,,,,,,618,668.0,669.0,685.0,,,,,,,,,,,
6220,Composable NFTs utilizing Equippable Parts,"Bruno kvorc (@Swader), Cicada (@CicadaNCR), Steven Pineda (@steven2308), Stevan Bogosavljevic (@stevyhacker), Jan Turk (@ThunderDeliverer)",Bruno kvorc,Cicada,Steven Pineda,Stevan Bogosavljevic,Jan Turk,,,,,,,,,,,292,424.0,500.0,546.0,60.0,,,,,,,,,,
6454,Minimal Transferable NFT detection interface,"Bruno kvorc (@Swader), Francesco Sullo (@sullof), Steven Pineda (@steven2308), Stevan Bogosavljevic (@stevyhacker), Jan Turk (@ThunderDeliverer)",Bruno kvorc,Francesco Sullo,Steven Pineda,Stevan Bogosavljevic,Jan Turk,,,,,,,,,,,292,631.0,500.0,546.0,60.0,,,,,,,,,,
6672,Multi-redeemable NFTs,"RE:DREAMER Lab <[email protected]>, Archie Chang (@ArchieR7) <[email protected]>, Kai Yu (@chihkaiyu) <[email protected]>, Yonathan Randyanto (@Randyanto) <[email protected]>, Boyu Chu (@chuboyu) <[email protected]>, Boxi Li (@boxi79) <[email protected]>, Jason Cheng (@Jason0729) <[email protected]>",RE:DREAMER Lab,Archie Chang,Kai Yu,Yonathan Randyanto,Boyu Chu,Boxi Li,Jason Cheng,,,,,,,,,670,654.0,620.0,590.0,645.0,646.0,624.0,,,,,,,,
1153,Transient storage opcodes,"Alexey Akhunov (@AlexeyAkhunov), Moody Salem (@moodysalem)",Alexey Akhunov,Moody Salem,,,,,,,,,,,,,,62,294.0,,,,,,,,,,,,,
1191,Add chain id to mixed-case checksum address encoding,Juliano Rizzo (@juli),Juliano Rizzo,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,
2135,"Consumable Interface (Tickets, etc)",Zainan Victor Zhou (@xinbenlv),Zainan Victor Zhou,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,
2266,Atomic Swap-based American Call Option Contract Standard,"Runchao Han <[email protected]>, Haoyu Lin <[email protected]>, Jiangshan Yu <[email protected]>",Runchao Han,Haoyu Lin,Jiangshan Yu,,,,,,,,,,,,,125,347.0,453.0,,,,,,,,,,,,
3076,Slashing Protection Interchange Format,"Michael Sproul (@michaelsproul), Sacha Saint-Leger (@sachayves), Danny Ryan (@djrtwo)",Michael Sproul,Sacha Saint-Leger,Danny Ryan,,,,,,,,,,,,,166,364.0,50.0,,,,,,,,,,,,
4910,Royalty Bearing NFTs,Andreas Freund (@Therecanbeonlyone1969),Andreas Freund,,,,,,,,,,,,,,,224,,,,,,,,,,,,,,
5008,ERC-721 Nonce Extension,"Anders (@0xanders), Lance (@LanceSnow), Shrug <[email protected]>",Anders,Lance,Shrug,,,,,,,,,,,,,223,234.0,475.0,,,,,,,,,,,,
5202,Blueprint contract format,"Charles Cooper (@charles-cooper), Edward Amor (@skellet0r)",Charles Cooper,Edward Amor,,,,,,,,,,,,,,110,399.0,,,,,,,,,,,,,
5216,EIP-1155 Approval By Amount Extension,"Iván Mañús (@ivanmmurciaua), Juan Carlos Cantó (@EscuelaCryptoES)",Iván Mañús,Juan Carlos Cantó,,,,,,,,,,,,,,251,400.0,,,,,,,,,,,,,
5496,Multi-privilege Management NFT Extension,Jeremy Z (@wnft),Jeremy Z,,,,,,,,,,,,,,,261,,,,,,,,,,,,,,
6093,Custom errors for commonly-used tokens,"Ernesto García (@ernestognw), Francisco Giordano (@frangio), Hadrien Croubois (@Amxx)",Ernesto García,Francisco Giordano,Hadrien Croubois,,,,,,,,,,,,,297,76.0,138.0,,,,,,,,,,,,
6381,Public Non-Fungible Token Emote Repository,"Bruno kvorc (@Swader), Steven Pineda (@steven2308), Stevan Bogosavljevic (@stevyhacker), Jan Turk (@ThunderDeliverer)",Bruno kvorc,Steven Pineda,Stevan Bogosavljevic,Jan Turk,,,,,,,,,,,,292,500.0,546.0,60.0,,,,,,,,,,,
663,Unlimited SWAP and DUP instructions,Alex Beregszaszi (@axic),Alex Beregszaszi,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,
1185,Storage of DNS Records in ENS,Jim McDonald (@mcdee),Jim McDonald,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,
1328,WalletConnect URI Format,"ligi (@ligi), Pedro Gomes (@pedrouid)",ligi,Pedro Gomes,,,,,,,,,,,,,,35,120.0,,,,,,,,,,,,,
1898,Add `blockHash` to defaultBlock methods,Charles Cooper (@charles-cooper),Charles Cooper,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,
2015,wallet_updateEthereumChain RPC Method,"Pedro Gomes (@pedrouid), Erik Marks (@rekmarks), Pandapip1 (@Pandapip1)",Pedro Gomes,Erik Marks,Gavin John,,,,,,,,,,,,,120,167.0,661.0,,,,,,,,,,,,
2294,Explicit bound to Chain ID size,"Zainan Victor Zhou (@xinbenlv), Alex Beregszaszi (@axic)",Zainan Victor Zhou,Alex Beregszaszi,,,,,,,,,,,,,,71,11.0,,,,,,,,,,,,,
3074,AUTH and AUTHCALL opcodes,"Sam Wilson (@SamWilsn), Ansgar Dietrichs (@adietrichs), Matt Garnett (@lightclient), Micah Zoltu (@micahzoltu)",Sam Wilson,Ansgar Dietrichs,Matt Garnett,Micah Zoltu,,,,,,,,,,,,165,200.0,145.0,19.0,,,,,,,,,,,
3540,EOF - EVM Object Format v1,"Alex Beregszaszi (@axic), Pawe? Bylica (@chfast), Andrei Maiboroda (@gumb0), Matt Garnett (@lightclient)",Alex Beregszaszi,Pawel Bylica,Andrei Maiboroda,Matt Garnett,,,,,,,,,,,,11,83.0,214.0,145.0,,,,,,,,,,,
3561,Trust Minimized Upgradeability Proxy,Sam Porter (@SamPorter1984),Sam Porter,,,,,,,,,,,,,,,186,,,,,,,,,,,,,,
3670,EOF - Code Validation,"Alex Beregszaszi (@axic), Andrei Maiboroda (@gumb0), Pawe? Bylica (@chfast)",Alex Beregszaszi,Andrei Maiboroda,Pawel Bylica,,,,,,,,,,,,,11,214.0,83.0,,,,,,,,,,,,
3770,Chain-specific addresses,"Lukas Schor (@lukasschor), Richard Meissner (@rmeissner), Pedro Gomes (@pedrouid), ligi <[email protected]>",Lukas Schor,Richard Meissner,Pedro Gomes,ligi,,,,,,,,,,,,194,82.0,120.0,35.0,,,,,,,,,,,
4200,EOF - Static relative jumps,"Alex Beregszaszi (@axic), Andrei Maiboroda (@gumb0), Pawe? Bylica (@chfast)",Alex Beregszaszi,Andrei Maiboroda,Pawel Bylica,,,,,,,,,,,,,11,214.0,83.0,,,,,,,,,,,,
4361,Sign-In with Ethereum,"Wayne Chang (@wyc), Gregory Rocco (@obstropolos), Brantly Millegan (@brantlymillegan), Nick Johnson (@Arachnid)",Wayne Chang,Gregory Rocco,Brantly Millegan,Nick Johnson,,,,,,,,,,,,198,376.0,468.0,10.0,,,,,,,,,,,
4527,QR Code transmission protocol for wallets,"Aaron Chen (@aaronisme), Sora Lee (@soralit), ligi (@ligi), Dan Miller (@danjm), AndreasGassmann (@andreasgassmann), xardass (@xardass), Lixin Liu (@BitcoinLixin)",Aaron Chen,Sora Lee,ligi,Dan Miller,AndreasGassmann,xardass,Lixin Liu,,,,,,,,,208,380.0,35.0,531.0,558.0,573.0,579.0,,,,,,,,
4750,EOF - Functions,"Andrei Maiboroda (@gumb0), Alex Beregszaszi (@axic), Pawe? Bylica (@chfast)",Andrei Maiboroda,Alex Beregszaszi,Pawel Bylica,,,,,,,,,,,,,214,11.0,83.0,,,,,,,,,,,,
4758,Deactivate SELFDESTRUCT,"Guillaume Ballet (@gballet), Vitalik Buterin (@vbuterin), Dankrad Feist (@dankrad)",Guillaume Ballet,Vitalik Buterin,Dankrad Feist,,,,,,,,,,,,,142,1.0,188.0,,,,,,,,,,,,
4844,Shard Blob Transactions,"Vitalik Buterin (@vbuterin), Dankrad Feist (@dankrad), Diederik Loerakker (@protolambda), George Kadianakis (@asn-d6), Matt Garnett (@lightclient), Mofi Taiwo (@Inphi), Ansgar Dietrichs (@adietrichs)",Vitalik Buterin,Dankrad Feist,Diederik Loerakker,George Kadianakis,Matt Garnett,Mofi Taiwo,Ansgar Dietrichs,,,,,,,,,1,188.0,473.0,202.0,145.0,575.0,200.0,,,,,,,,
4881,Deposit Contract Snapshot Interface,Mark Mackey (@ethDreamer),Mark Mackey,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,
4938,eth/67 - Removal of GetNodeData,"Marius van der Wijden (@MariusVanDerWijden), Felix Lange <[email protected]>, Gary Rong <[email protected]>",Marius Van Der Wijden,Felix Lange,Gary Rong,,,,,,,,,,,,,226,6.0,349.0,,,,,,,,,,,,
4973,Account-bound Tokens,Tim Daubenschütz (@TimDaub),Tim Daubenschütz,,,,,,,,,,,,,,,230,,,,,,,,,,,,,,
4974,Ratings,Daniel Tedesco (@dtedesco1),Daniel Tedesco,,,,,,,,,,,,,,,231,,,,,,,,,,,,,,
4987,Held token interface,Devin Conley (@devinaconley),Devin Conley,,,,,,,,,,,,,,,232,,,,,,,,,,,,,,
5005,Zodiac Modular Accounts,"Auryn Macmillan (@auryn-macmillan), Kei Kreutler (@keikreutler)",Auryn Macmillan,Kei Kreutler,,,,,,,,,,,,,,191,389.0,,,,,,,,,,,,,
5018,Filesystem-like Interface for Contracts,Qi Zhou (@qizhou),Qi Zhou,,,,,,,,,,,,,,,685,,,,,,,,,,,,,,
5114,Soulbound Badge,Micah Zoltu (@MicahZoltu),Micah Zoltu,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,
5164,Cross-Chain Execution,"Brendan Asselstine (@asselstine), Pierrick Turelier (@PierrickGT), Chris Whinfrey (@cwhinfrey)",Brendan Asselstine,Pierrick Turelier,Chris Whinfrey,,,,,,,,,,,,,245,396.0,662.0,,,,,,,,,,,,
5252,Account-bound Finance,"Hyungsuk Kang (@hskang9), Viktor Pernjek (@smuxx)",Hyungsuk Kang,Viktor Pernjek,,,,,,,,,,,,,,253,402.0,,,,,,,,,,,,,
5269,EIP/ERC Detection and Discovery,Zainan Victor Zhou (@xinbenlv),Zainan Victor Zhou,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,
5289,Ethereum Notary Interface,Gavin John (@Pandapip1),Gavin John,,,,,,,,,,,,,,,661,,,,,,,,,,,,,,
5298,ENS Trust to hold NFTs under ENS name,Zainan Victor Zhou (@xinbenlv),Zainan Victor Zhou,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,
5450,EOF - Stack Validation,"Andrei Maiboroda (@gumb0), Pawe? Bylica (@chfast), Alex Beregszaszi (@axic), Danno Ferrin (@shemnon)",Andrei Maiboroda,Pawel Bylica,Alex Beregszaszi,Danno Ferrin,,,,,,,,,,,,214,83.0,11.0,107.0,,,,,,,,,,,
5516,Soulbound Multi-owner Tokens,"Lucas Martín Grasso Ramos (@LucasGrasso), Matias Arazi (@MatiArazi)",Lucas Martín Grasso Ramos,Matias Arazi,,,,,,,,,,,,,,265,406.0,,,,,,,,,,,,,
5553,Representing IP and its Royalty Structure,Roy Osherove (@royosherove),Roy Osherove,,,,,,,,,,,,,,,269,,,,,,,,,,,,,,
5568,Revert Reason for Required Actions,Gavin John (@Pandapip1),Gavin John,,,,,,,,,,,,,,,661,,,,,,,,,,,,,,
5585,ERC-721 NFT Authorization,"Veega Labs (@VeegaLabsOfficial), Sean NG (@ngveega), Tiger (@tiger0x), Fred (@apan), Fov Cao (@fovcao)",Veega Labs,Sean NG,Tiger,Fred,Fov Cao,,,,,,,,,,,276,412.0,493.0,541.0,565.0,,,,,,,,,,
5604,NFT Lien,"Allen Zhou <[email protected]>, Alex Qin <[email protected]>, Zainan Victor Zhou (@xinbenlv)",Allen Zhou,Alex Qin,Zainan Victor Zhou,,,,,,,,,,,,,278,414.0,71.0,,,,,,,,,,,,
5625,NFT Metadata JSON Schema dStorage Extension,Gavin Fu (@gavfu),Gavin Fu,,,,,,,,,,,,,,,280,,,,,,,,,,,,,,
5639,Delegation Registry,"foobar (@0xfoobar), Wilkins Chung (@wwhchung) <[email protected]>, ryley-o (@ryley-o), Jake Rockland (@jakerockland), andy8052 (@andy8052)",foobar,Wilkins Chung,ryley-o,Jake Rockland,andy8052,,,,,,,,,,,284,243.0,496.0,543.0,566.0,,,,,,,,,,
5643,Subscription NFTs,cygaar (@cygaar),cygaar,,,,,,,,,,,,,,,285,,,,,,,,,,,,,,
5656,MCOPY - Memory copying instruction,"Alex Beregszaszi (@axic), Paul Dworzanski (@poemm), Jared Wasinger (@jwasinger), Casey Detrio (@cdetrio), Pawel Bylica (@chfast), Charles Cooper (@charles-cooper)",Alex Beregszaszi,Paul Dworzanski,Jared Wasinger,Casey Detrio,Pawel Bylica,Charles Cooper,,,,,,,,,,11,418.0,497.0,34.0,83.0,110.0,,,,,,,,,
5725,Transferable Vesting NFT,"Apeguru (@Apegurus), Marco De Vries <[email protected]>, Mario <[email protected]>, DeFiFoFum (@DeFiFoFum)",Apeguru,Marco De Vries,Mario,DeFiFoFum,,,,,,,,,,,,287,419.0,498.0,544.0,,,,,,,,,,,
5793,eth/68 - Add tx type to tx announcement,Marius van der Wijden (@MariusVanDerWijden),Marius Van Der Wijden,,,,,,,,,,,,,,,226,,,,,,,,,,,,,,
5805,Voting with delegation,"Hadrien Croubois (@Amxx), Francisco Giordano (@frangio)",Hadrien Croubois,Francisco Giordano,,,,,,,,,,,,,,138,76.0,,,,,,,,,,,,,
5920,PAY opcode,"Gavin John (@Pandapip1), Zainan Victor Zhou (@xinbenlv)",Gavin John,Zainan Victor Zhou,,,,,,,,,,,,,,661,71.0,,,,,,,,,,,,,
5982,Role-based Access Control,Zainan Victor Zhou (@xinbenlv),Zainan Victor Zhou,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,
6065,Real Estate Token,"Alex (@Alex-Klasma), Ben Fusek (@bfusek), Daniel Fallon-Cyr (@dfalloncyr)",Alex,Ben Fusek,Daniel Fallon-Cyr,,,,,,,,,,,,,385,649.0,671.0,,,,,,,,,,,,
6066,Signature Validation Method for NFTs,Jack Boyuan Xu (@boyuanx),Jack Boyuan Xu,,,,,,,,,,,,,,,626,,,,,,,,,,,,,,
6120,Universal Token Router,"Zergity (@Zergity), Ngo Quang Anh (@anhnq82), BerlinP (@BerlinP), Khanh Pham (@blackskin18)",Zergity,Ngo Quang Anh,BerlinP,Khanh Pham,,,,,,,,,,,,587,608.0,586.0,615.0,,,,,,,,,,,
6122,Forkid checks based on timestamps,Marius van der Wijden (@MariusVanDerWijden),Marius Van Der Wijden,,,,,,,,,,,,,,,226,,,,,,,,,,,,,,
6188,Nonce Cap,Gavin John (@Pandapip1),Gavin John,,,,,,,,,,,,,,,661,,,,,,,,,,,,,,
6189,Alias Contracts,Gavin John (@Pandapip1),Gavin John,,,,,,,,,,,,,,,661,,,,,,,,,,,,,,
6190,Verkle-compatible SELFDESTRUCT,Gavin John (@Pandapip1),Gavin John,,,,,,,,,,,,,,,661,,,,,,,,,,,,,,
6239,Semantic Soulbound Tokens,Jessica Chang (@JessicaChg),Jessica Chang,,,,,,,,,,,,,,,672,,,,,,,,,,,,,,
6357,Single-contract Multi-delegatecall,Gavin John (@Pandapip1),Gavin John,,,,,,,,,,,,,,,661,,,,,,,,,,,,,,
6358,Cross-Chain Token States Synchronization,"Shawn Zheng (@xiyu1984), Jason Cheng <[email protected]>, George Huang (@virgil2019), Kay Lin (@kay404)",Shawn Zheng,Jason Cheng,George Huang,Kay Lin,,,,,,,,,,,,596,624.0,629.0,619.0,,,,,,,,,,,
6372,Contract clock,"Hadrien Croubois (@Amxx), Francisco Giordano (@frangio)",Hadrien Croubois,Francisco Giordano,,,,,,,,,,,,,,138,76.0,,,,,,,,,,,,,
6475,SSZ Optional,"Etan Kissling (@etan-status), Zahary Karadjov (@zah)",Etan Kissling,Zahary Karadjov,,,,,,,,,,,,,,634,588.0,,,,,,,,,,,,,
6492,Signature Validation for Predeploy Contracts,"Ivo Georgiev (@Ivshti), Agustin Aguilar (@Agusx1211)",Ivo Georgiev,Agustin Aguilar,,,,,,,,,,,,,,627,673.0,,,,,,,,,,,,,
6493,SSZ Transaction Signature Scheme,"Etan Kissling (@etan-status), Matt Garnett (@lightclient), Vitalik Buterin (@vbuterin)",Etan Kissling,Matt Garnett,Vitalik Buterin,,,,,,,,,,,,,634,145.0,1.0,,,,,,,,,,,,
6808,Fungible Key Bound Token,"Mihai Onila (@MihaiORO), Nick Zeman (@NickZCZ), Narcis Cotaie (@NarcisCRO)",Mihai Onila,Nick Zeman,Narcis Cotaie,,,,,,,,,,,,,610,607.0,609.0,,,,,,,,,,,,
6809,Non-Fungible Key Bound Token,"Mihai Onila (@MihaiORO), Nick Zeman (@NickZCZ), Narcis Cotaie (@NarcisCRO)",Mihai Onila,Nick Zeman,Narcis Cotaie,,,,,,,,,,,,,610,607.0,609.0,,,,,,,,,,,,
6953,Network Upgrade Activation Triggers,Tim Beiko (@timbeiko),Tim Beiko,,,,,,,,,,,,,,,196,,,,,,,,,,,,,,
6997,ERC-721 with transaction validation step.,Eduard López i Fina (@eduardfina),Eduard López i Fina,,,,,,,,,,,,,,,674,,,,,,,,,,,,,,
223,223 Token with communication model,Dexaran (@Dexaran) <[email protected]>,Dexaran,,,,,,,,,,,,,,,638,,,,,,,,,,,,,,
725,General data key/value store and execution,"Fabian Vogelsteller (@frozeman), Tyler Yasaka (@tyleryasaka)",Fabian Vogelsteller,Tyler Yasaka,,,,,,,,,,,,,,7,303.0,,,,,,,,,,,,,
998,Composable Non-Fungible Token,"Matt Lockyer <[email protected]>, Nick Mudge <[email protected]>, Jordan Schalm <[email protected]>, sebastian echeverry <[email protected]>, Zainan Victor Zhou (@xinbenlv)",Matt Lockyer,Nick Mudge,Jordan Schalm,sebastian echeverry,Zainan Victor Zhou,,,,,,,,,,,48,16.0,435.0,720.0,71.0,,,,,,,,,,
1202,Voting Interface,"Zainan Victor Zhou (@xinbenlv), Evan (@evbots), Yin Xu (@yingogobot)",Zainan Victor Zhou,Evan,Yin Xu,,,,,,,,,,,,,71,319.0,440.0,,,,,,,,,,,,
1418,Blockchain Storage Rent Payment,William Entriken (@fulldecent),William Entriken,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,
1459,Node Discovery via DNS,"Felix Lange (@fjl), Péter Szilágyi (@karalabe)",Felix Lange,Péter Szilágyi,,,,,,,,,,,,,,6,18.0,,,,,,,,,,,,,
3102,Binary trie structure,"Guillaume Ballet (@gballet), Vitalik Buterin (@vbuterin)",Guillaume Ballet,Vitalik Buterin,,,,,,,,,,,,,,142,1.0,,,,,,,,,,,,,
3455,SUDO Opcode,"William Morriss (@wjmelements), Baptiste Vauthey (@thabaptiser)",William Morriss,Baptiste Vauthey,,,,,,,,,,,,,,153,652.0,,,,,,,,,,,,,
4337,Account Abstraction Using Alt Mempool,"Vitalik Buterin (@vbuterin), Yoav Weiss (@yoavw), Kristof Gazso (@kristofgazso), Namra Patel (@namrapatel), Dror Tirosh (@drortirosh), Shahaf Nacson (@shahafn), Tjaden Hess (@tjade273)",Vitalik Buterin,Yoav Weiss,Kristof Gazso,Namra Patel,Dror Tirosh,Shahaf Nacson,Tjaden Hess,,,,,,,,,1,97.0,466.0,529.0,336.0,572.0,12.0,,,,,,,,
4393,Micropayments for NFTs and Multi Tokens,Jules Lai (@julesl23),Jules Lai,,,,,,,,,,,,,,,199,,,,,,,,,,,,,,
4494,Permit for ERC-721 NFTs,"Simon Fremaux (@dievardump), William Schwab (@wschwab)",Simon Fremaux,William Schwab,,,,,,,,,,,,,,203,207.0,,,,,,,,,,,,,
4675,Multi-Fractional Non-Fungible Tokens,David Kim (@powerstream3604),David Kim,,,,,,,,,,,,,,,211,,,,,,,,,,,,,,
4788,Beacon block root in the EVM,"Alex Stokes (@ralexstokes), Ansgar Dietrichs (@adietrichs), Danny Ryan (@djrtwo)",Alex Stokes,Ansgar Dietrichs,Danny Ryan,,,,,,,,,,,,,215,200.0,50.0,,,,,,,,,,,,
4824,Common Interfaces for DAOs,"Joshua Tan (@thelastjosh), Isaac Patka (@ipatka), Ido Gershtein <[email protected]>, Eyal Eithcowich <[email protected]>, Michael Zargham (@mzargham), Sam Furter (@nivida)",Joshua Tan,Isaac Patka,Ido Gershtein,Eyal Eithcowich,Michael Zargham,Sam Furter,,,,,,,,,,218,270.0,472.0,532.0,560.0,574.0,,,,,,,,,
