eip_number,Title,Author,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,author1_id,author2_id,author3_id,author4_id,author5_id,author6_id,author7_id,author8_id,author9_id,author10_id,author11_id,author12_id,author13_id,author14_id,author15_id
214,New opcode STATICCALL,"Vitalik Buterin <[email protected]>, Christian Reitwiessner <[email protected]>",Vitalik Buterin,Christian Reitwiessner,,,,,,,,,,,,,,1,4.0,,,,,,,,,,,,,
225,Clique proof-of-authority consensus protocol,Péter Szilágyi <[email protected]>,Péter Szilágyi,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,
234,Add `blockHash` to JSON-RPC filter options.,Micah Zoltu (@MicahZoltu),Micah Zoltu,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,
600,Ethereum purpose allocation for Deterministic Wallets,"Nick Johnson (@arachnid), Micah Zoltu (@micahzoltu)",Nick Johnson,Micah Zoltu,,,,,,,,,,,,,,10,19.0,,,,,,,,,,,,,
601,Ethereum hierarchy for deterministic wallets,"Nick Johnson (@arachnid), Micah Zoltu (@micahzoltu)",Nick Johnson,Micah Zoltu,,,,,,,,,,,,,,10,19.0,,,,,,,,,,,,,
606,Hardfork Meta: Homestead,Alex Beregszaszi (@axic),Alex Beregszaszi,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,
607,Hardfork Meta: Spurious Dragon,Alex Beregszaszi (@axic),Alex Beregszaszi,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,
608,Hardfork Meta: Tangerine Whistle,Alex Beregszaszi (@axic),Alex Beregszaszi,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,
609,Hardfork Meta: Byzantium,Alex Beregszaszi (@axic),Alex Beregszaszi,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,
627,Whisper Specification,Vlad Gluhovsky <[email protected]>,Vlad Gluhovsky,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,
649,Metropolis Difficulty Bomb Delay and Block Reward Reduction,"Afri Schoedon (@5chdn), Vitalik Buterin (@vbuterin)",Afri Schoedon,Vitalik Buterin,,,,,,,,,,,,,,23,1.0,,,,,,,,,,,,,
658,Embedding transaction status code in receipts,Nick Johnson <[email protected]>,Nick Johnson,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,
681,URL Format for Transaction Requests,Daniel A. Nagy (@nagydani),Daniel A. Nagy,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,
684,Revert creation in case of collision,"Vitalik Buterin (@vbuterin), Renan Rodrigues de Souza (@RenanSouza2)",Vitalik Buterin,Renan Rodrigues de Souza,,,,,,,,,,,,,,1,598.0,,,,,,,,,,,,,
695,Create `eth_chainId` method for JSON-RPC,"Isaac Ardis <[email protected]>, Wei Tang (@sorpaas), Fan Torchz (@tcz001), Erik Marks (@rekmarks)",Isaac Ardis,Wei Tang,Fan Torchz,Erik Marks,,,,,,,,,,,,27,78.0,429.0,167.0,,,,,,,,,,,
706,DEVp2p snappy compression,Péter Szilágyi <[email protected]>,Péter Szilágyi,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,
712,Typed structured data hashing and signing,"Remco Bloemen (@Recmo), Leonid Logvinov (@LogvinovLeon), Jacob Evans (@dekz)",Remco Bloemen,Leonid Logvinov,Jacob Evans,,,,,,,,,,,,,29,301.0,430.0,,,,,,,,,,,,
721,Non-Fungible Token Standard,"William Entriken (@fulldecent), Dieter Shirley <[email protected]>, Jacob Evans <[email protected]>, Nastassia Sachs <[email protected]>",William Entriken,Dieter Shirley,Jacob Evans,Nastassia Sachs,,,,,,,,,,,,30,302.0,430.0,505.0,,,,,,,,,,,
